Label,Notation,Parent Notation
Canada,canada,
Dominican Rep,dominican-rep,
South Korea,south-korea,
Israel,israel,
Pakistan,pakistan,
India,india,
Gibraltar,gibraltar,
Japan,japan,
Singapore,singapore,
Australia,australia,
China,china,
Kenya,kenya,
Burundi,burundi,
Thailand,thailand,
Faroe Islands,faroe-islands,
Qatar,qatar,
Djibouti,djibouti,
Norway,norway,
St Vincent,st-vincent,
Zimbabwe,zimbabwe,
Taiwan,taiwan,
Bolivia,bolivia,
Macao,macao,
Iraq,iraq,
Belize,belize,
Hong Kong,hong-kong,
Oman,oman,
Kazakhstan,kazakhstan,
Turkey,turkey,
Bangladesh,bangladesh,
Croatia,croatia,
United States,united-states,
Mauritius,mauritius,
Russia,russia,
Vietnam,vietnam,
UAE,uae,
Argentina,argentina,
Ukraine,ukraine,
Switzerland,switzerland,
Nigeria,nigeria,
Gambia,gambia,
Colombia,colombia,
Benin,benin,
Ivory Coast,ivory-coast,
Serbia,serbia,
Liberia,liberia,
Saudi Arabia,saudi-arabia,
Falkland Islands,falkland-islands,
Jordan,jordan,
Brazil,brazil,
Ethiopia,ethiopia,
Sri Lanka,sri-lanka,
Mexico,mexico,
Namibia,namibia,
Curacao,curacao,
Barbados,barbados,
Senegal,senegal,
Costa Rica,costa-rica,
Egypt,egypt,
Algeria,algeria,
Malaysia,malaysia,
Peru,peru,
Iran,iran,
New Zealand,new-zealand,
Bahamas,bahamas,
Chile,chile,
Iceland,iceland,
Br Virgin Is,br-virgin-is,
Laos,laos,
Indonesia,indonesia,
Papua New Guinea,papua-new-guinea,
Bahrain,bahrain,
Belarus,belarus,
Bosnia & Herz.,bosnia-herz,
Ecuador,ecuador,
Morocco,morocco,
Cameroon,cameroon,
Gabon,gabon,
South Africa,south-africa,
Mongolia,mongolia,
Sint Maarten,sint-maarten,
Venezuela,venezuela,
Brunei,brunei,
Nicaragua,nicaragua,
Haiti,haiti,
Dominica,dominica,
Somalia,somalia,
Angola,angola,
Cuba,cuba,
Armenia,armenia,
Ceuta,ceuta,
Libya,libya,
Congo (Republic),congo-republic,
Kuwait,kuwait,
Uganda,uganda,
South Sudan,south-sudan,
Albania,albania,
Greenland,greenland,
Ghana,ghana,
Georgia,georgia,
Occ Palest Terr,occ-palest-terr,
Kosovo,kosovo,
Guatemala,guatemala,
Liechtenstein,liechtenstein,
Moldova,moldova,
Grenada,grenada,
St Helena,st-helena,
Panama,panama,
Syria,syria,
Trinidad:Tobago,trinidad-tobago,
Philippines,philippines,
Vatican City,vatican-city,
Tonga,tonga,
Burkina,burkina,
Lebanon,lebanon,
Malawi,malawi,
Tunisia,tunisia,
Paraguay,paraguay,
Saint Barthelemy,saint-barthelemy,
Zambia,zambia,
Montenegro,montenegro,
Tanzania,tanzania,
Botswana,botswana,
Maldives,maldives,
Yemen,yemen,
Guam,guam,
Burma,burma,
Fyr Macedonia,fyr-macedonia,
Honduras,honduras,
Bermuda,bermuda,
Anguilla,anguilla,
Sierra Leone,sierra-leone,
Kyrgyz Republic,kyrgyz-republic,
Jamaica,jamaica,
Guinea-Bissau,guinea-bissau,
Azerbaijan,azerbaijan,
Andorra,andorra,
Nepal,nepal,
Seychelles,seychelles,
Guinea,guinea,
Mauritania,mauritania,
Equat Guinea,equat-guinea,
Sudan,sudan,
Guyana,guyana,
El Salvador,el-salvador,
Afghanistan,afghanistan,
Madagascar,madagascar,
Congo (Dem. Rep),congo-dem-rep,
Uzbekistan,uzbekistan,
Samoa,samoa,
Antigua:Barbuda,antigua-barbuda,
St Kitts & Nevis,st-kitts-nevis,
US Virgin Is,us-virgin-is,
Cent Afr Rep,cent-afr-rep,
Cayman Islands,cayman-islands,
Cambodia,cambodia,
Niger,niger,
Mali,mali,
Turks & Caicos,turks-caicos,
Montserrat,montserrat,
Uruguay,uruguay,
Tajikistan,tajikistan,
Aruba,aruba,
St Lucia,st-lucia,
Togo,togo,
San Marino,san-marino,
Fiji,fiji,
Turkmenistan,turkmenistan,
Stores & Provis.,stores-provis,
Nl Antilles,nl-antilles,
Cape Verde,cape-verde,
Sao Tome-Princ.,sao-tome-princ,
US Minor Islands,us-minor-islands,
Solomon Islands,solomon-islands,
French Polynesia,french-polynesia,
Rwanda,rwanda,
North Korea,north-korea,
Mozambique,mozambique,
Chad,chad,
Surinam,surinam,
Melilla,melilla,
Christmas Is,christmas-is,
Bonaire,bonaire,
Eritrea,eritrea,
Vanuatu,vanuatu,
Bhutan,bhutan,
New Caledonia,new-caledonia,
Br Ind Oc Terr,br-ind-oc-terr,
Marshall Islands,marshall-islands,
Nauru,nauru,
Lesotho,lesotho,
Swaziland,swaziland,
