Label,Notation,Parent Notation,Sort Priority,Description
Total International Trade in Services,total-international-trade-in-services,,1,
"Technical, trade-related, operational leasing and other business services",technical-trade-related-operational-leasing-and-other-business-services,,2,
"Professional, management consulting and R&D services",professional-management-consulting-and-r-and-d-services,,3,
"Merchanting, Other Trade-related and Services",merchanting-other-trade-related-and-services,,4,
Other Non Services,other-non-services,,5,
Manufacturing Services,manufacturing-services,,6,
Construction Services,construction-services,,7,
Wholesale or Retail Trade Services,wholesale-or-retail-trade-services,,8,
Transportation and Storage Services,transportation-and-storage-services,,9,
Accommodation and Food Services,accommodation-and-food-services,,10,
Information and Communication Services,information-and-communication-services,,11,
Financial and Insurance Activities,financial-and-insurance-activities,,12,
Real Estate Activities,real-estate-activities,,13,
"Professional, Scientific and Technical Activities",professional-scientific-and-technical-activities,,14,
Administrative and Support Service Activities,administrative-and-support-service-activities,,15,
"Public Administration, Education and Health Services",public-administration-education-and-health-services,,16,
"RandS Arts, Entertainment and Recreation and Other Service Activities",r-and-s-arts-entertainment-and-recreation-and-other-service-activities,,17,
"Agricultural, Mining and On-site Processing Services -Agricultural",agricultural-mining-and-on-site-processing-services-agricultural,,18,
"Agricultural, Mining and On-site Processing Services -Mining",agricultural-mining-and-on-site-processing-services-mining,,19,
"Agricultural, Mining and On-site Processing Services -Waste treatment and depollution",agricultural-mining-and-on-site-processing-services-waste-treatment-and-depollution,,20,
"Agricultural, Mining and On-site Processing Services -Other on-site processing services",agricultural-mining-and-on-site-processing-services-other-on-site-processing-services,,21,
"Agricultural, Mining and On-site Processing Services -Total",agricultural-mining-and-on-site-processing-services-total,,22,
"Business and Professional Services-Accountancy, auditing, bookkeeping and tax consulting services",business-and-professional-services-accountancy-auditing-bookkeeping-and-tax-consulting-services,,23,
Business and Professional Services-Advertising,business-and-professional-services-advertising,,24,
Business and Professional Services-Management consulting,business-and-professional-services-management-consulting,,25,
Business and Professional Services-Public relations services,business-and-professional-services-public-relations-services,,26,
Business and Professional Services-Recruitment ,business-and-professional-services-recruitment,,27,
Business and Professional Services-Other business management,business-and-professional-services-other-business-management,,28,
Business and Professional Services-Legal services,business-and-professional-services-legal-services,,29,
Business and Professional Services-Market research and public opinion polling,business-and-professional-services-market-research-and-public-opinion-polling,,30,
Business and Professional Services-Operational leasing services,business-and-professional-services-operational-leasing-services,,31,
Business and Professional Services-Procurement,business-and-professional-services-procurement,,32,
Business and Professional Services-Property management,business-and-professional-services-property-management,,33,
Business and Professional Services-Research and development,business-and-professional-services-research-and-development,,34,
Business and Professional Services-Services between related enterprises,business-and-professional-services-services-between-related-enterprises,,35,
Business and Professional Services-Other business and professional services,business-and-professional-services-other-business-and-professional-services,,36,
Business and Professional Services-Total,business-and-professional-services-total,,37,
Communications Services-Postal and courier,communications-services-postal-and-courier,,38,
Communications Services-Telecommunications,communications-services-telecommunications,,39,
Communications Services-Total,communications-services-total,,40,
Computer and Information Services-Computers,computer-and-information-services-computers,,41,
Computer and Information Services-News agency services,computer-and-information-services-news-agency-services,,42,
Computer and Information Services-Publishing services,computer-and-information-services-publishing-services,,43,
Computer and Information Services-Other information provision services,computer-and-information-services-other-information-provision-services,,44,
Computer and Information Services-Total,computer-and-information-services-total,,45,
Construction  Services-Construction in the UK,construction-services-construction-in-the-uk,,46,
Construction  Services-Construction outside the UK,construction-services-construction-outside-the-uk,,47,
Construction  Services-Total,construction-services-total,,48,
Financial Services-Financial,financial-services-financial,,49,
Insurance Services-Insurance Claims,insurance-services-insurance-claims,,50,
Insurance Services-Insurance Premiums,insurance-services-insurance-premiums,,51,
Merchanting and Other Trade related Services-Merchanting,merchanting-and-other-trade-related-services-merchanting,,52,
