ITL221CD,ITL221NM,ObjectId
TLC1,Tees Valley and Durham,1
TLC2,"Northumberland, and Tyne and Wear",2
TLD1,Cumbria,3
TLD3,Greater Manchester,4
TLD4,Lancashire,5
TLD6,Cheshire,6
TLD7,Merseyside,7
TLE1,East Yorkshire and Northern Lincolnshire,8
TLE2,North Yorkshire,9
TLE3,South Yorkshire,10
TLE4,West Yorkshire,11
TLF1,Derbyshire and Nottinghamshire,12
TLF2,"Leicestershire, Rutland and Northamptonshire",13
TLF3,Lincolnshire,14
TLG1,"Herefordshire, Worcestershire and Warwickshire",15
TLG2,Shropshire and Staffordshire,16
TLG3,West Midlands,17
TLH1,East Anglia,18
TLH2,Bedfordshire and Hertfordshire,19
TLH3,Essex,20
TLI3,Inner London — West,21
TLI4,Inner London — East,22
TLI5,Outer London — East and North East,23
TLI6,Outer London — South,24
TLI7,Outer London — West and North West,25
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",26
TLJ2,"Surrey, East and West Sussex",27
TLJ3,Hampshire and Isle of Wight,28
TLJ4,Kent,29
TLK1,"Gloucestershire, Wiltshire and Bristol/Bath area",30
TLK2,Dorset and Somerset,31
TLK3,Cornwall and Isles of Scilly,32
TLK4,Devon,33
TLL1,West Wales and The Valleys,34
TLL2,East Wales,35
TLM5,North Eastern Scotland,36
TLM6,Highlands and Islands,37
TLM7,Eastern Scotland,38
TLM8,West Central Scotland,39
TLM9,Southern Scotland,40
TLN0,Northern Ireland,41
