Year,NUTS Geography,HMRC Partner Geography,Flow Directions,SITC 4,Value,Marker
2019,nuts1/UKH,C,exports,all,14164,
2019,nuts1/all,C,exports,all,168486,
2019,nuts1/all,europe,exports,all,347831,
2019,nuts1/UKF,C,exports,all,12109,
2019,nuts1/all,non-eu,exports,all,179344,
2019,nuts1/all,europe,imports,all,487605,
2019,nuts1/UKI,C,exports,all,19303,
2019,nuts1/all,C,imports,all,266721,
2019,nuts1/UKC,C,exports,all,7902,
2019,nuts1/all,non-eu,imports,all,220884,
2019,nuts1/UKN,C,exports,all,5397,
2019,nuts1/UKD,C,exports,all,14296,
2019,nuts1/UKM,C,exports,all,16741,
2019,nuts1/UKJ,C,exports,all,21999,
2019,nuts1/UKK,C,exports,all,9373,
2019,nuts1/UKL,C,exports,all,10760,
2019,nuts1/UKG,C,exports,all,14603,
2019,nuts1/UKE,C,exports,all,9906,
2019,nuts1/UNK,C,exports,all,11778,
2019,nuts1/UNU,C,exports,all,156,
2019,nuts1/UKH,non-eu,exports,all,14888,
2019,nuts1/UKF,non-eu,exports,all,12304,
2019,nuts1/UKI,non-eu,exports,all,24570,
2019,nuts1/UKC,non-eu,exports,all,5372,
2019,nuts1/UKN,non-eu,exports,all,3757,
2019,nuts1/UKD,non-eu,exports,all,13049,
2019,nuts1/UKM,non-eu,exports,all,17108,
2019,nuts1/UKJ,non-eu,exports,all,24667,
2019,nuts1/UKK,non-eu,exports,all,11907,
2019,nuts1/UKL,non-eu,exports,all,7012,
2019,nuts1/UKG,non-eu,exports,all,17103,
2019,nuts1/UKE,non-eu,exports,all,7221,
2019,nuts1/UNK,non-eu,exports,all,8232,
2019,nuts1/UNU,non-eu,exports,all,12153,
2019,nuts1/UKH,C,imports,all,29184,
2019,nuts1/UKF,C,imports,all,16225,
2019,nuts1/UKI,C,imports,all,36063,
2019,nuts1/UKC,C,imports,all,8494,
2019,nuts1/UKN,C,imports,all,5374,
2019,nuts1/UKD,C,imports,all,21650,
2019,nuts1/UKM,C,imports,all,10023,
2019,nuts1/UKJ,C,imports,all,61917,
2019,nuts1/UKK,C,imports,all,10791,
2019,nuts1/UKL,C,imports,all,6905,
2019,nuts1/UKG,C,imports,all,22845,
2019,nuts1/UKE,C,imports,all,16885,
2019,nuts1/UNK,C,imports,all,19655,
2019,nuts1/UNU,C,imports,all,711,
2019,nuts1/UKH,non-eu,imports,all,16164,
2019,nuts1/UKF,non-eu,imports,all,13083,
2019,nuts1/UKI,non-eu,imports,all,38068,
2019,nuts1/UKC,non-eu,imports,all,6048,
2019,nuts1/UKN,non-eu,imports,all,2691,
2019,nuts1/UKD,non-eu,imports,all,16634,
2019,nuts1/UKM,non-eu,imports,all,13677,
2019,nuts1/UKJ,non-eu,imports,all,37400,
2019,nuts1/UKK,non-eu,imports,all,13819,
2019,nuts1/UKL,non-eu,imports,all,11312,
2019,nuts1/UKG,non-eu,imports,all,13869,
2019,nuts1/UKE,non-eu,imports,all,15489,
2019,nuts1/UNK,non-eu,imports,all,10447,
2019,nuts1/UNU,non-eu,imports,all,12183,
2019,nuts2/UKH2,C,exports,all,6239,
2019,nuts2/ea-btta,C,exports,all,431,
2019,nuts2/ea-energy,C,exports,all,565,
2019,nuts2/ea-other,C,exports,all,135,
2019,nuts2/UKH1,C,exports,all,4350,
2019,nuts2/UKH3,C,exports,all,2444,
2019,nuts2/UKF1,C,exports,all,7309,
2019,nuts2/em-btta,C,exports,all,318,
2019,nuts2/em-energy,C,exports,all,34,
2019,nuts2/em-other,C,exports,all,55,
2019,nuts2/UKF2,C,exports,all,3596,
2019,nuts2/UKF3,C,exports,all,796,
2019,nuts2/UKI4,C,exports,all,4539,
2019,nuts2/UKI3,C,exports,all,8720,
2019,nuts2/lo-btta,C,exports,all,737,
2019,nuts2/lo-other,C,exports,all,205,
2019,nuts2/UKI5,C,exports,all,1167,
2019,nuts2/UKI6,C,exports,all,780,
2019,nuts2/UKI7,C,exports,all,3154,
2019,nuts2/ne-btta,C,exports,all,75,
2019,nuts2/ne-other,C,exports,all,33,
2019,nuts2/UKC2,C,exports,all,5026,
2019,nuts2/UKC1,C,exports,all,2768,
2019,nuts2/UKN0,C,exports,all,5397,
2019,nuts2/UKD6,C,exports,all,4027,
2019,nuts2/UKD1,C,exports,all,800,
2019,nuts2/UKD3,C,exports,all,3829,
2019,nuts2/UKD4,C,exports,all,2791,
2019,nuts2/UKD7,C,exports,all,2332,
2019,nuts2/nw-btta,C,exports,all,409,
2019,nuts2/nw-energy,C,exports,all,51,
2019,nuts2/nw-other,C,exports,all,58,
2019,nuts2/UKM7,C,exports,all,3100,
2019,nuts2/UKM6,C,exports,all,1126,
2019,nuts2/UKM5,C,exports,all,1234,
2019,nuts2/sc-btta,C,exports,all,174,
2019,nuts2/sc-energy,C,exports,all,8028,
2019,nuts2/sc-other,C,exports,all,85,
2019,nuts2/UKM9,C,exports,all,985,
2019,nuts2/UKM8,C,exports,all,2009,
2019,nuts2/UKJ1,C,exports,all,6329,
2019,nuts2/UKJ3,C,exports,all,6579,
2019,nuts2/UKJ4,C,exports,all,1876,
2019,nuts2/se-btta,C,exports,all,681,
2019,nuts2/se-energy,C,exports,all,207,
2019,nuts2/se-other,C,exports,all,240,
2019,nuts2/UKJ2,C,exports,all,6088,
2019,nuts2/UKK3,C,exports,all,389,
2019,nuts2/UKK4,C,exports,all,1128,
2019,nuts2/UKK2,C,exports,all,1411,
2019,nuts2/UKK1,C,exports,all,6044,
2019,nuts2/sw-btta,C,exports,all,305,
2019,nuts2/sw-other,C,exports,all,95,
2019,nuts2/UKL2,C,exports,all,6244,
2019,nuts2/wa-btta,C,exports,all,105,
2019,nuts2/wa-energy,C,exports,all,45,
2019,nuts2/wa-other,C,exports,all,97,
2019,nuts2/UKL1,C,exports,all,4269,
2019,nuts2/UKG1,C,exports,all,3587,
2019,nuts2/UKG2,C,exports,all,4247,
2019,nuts2/wm-btta,C,exports,all,399,
2019,nuts2/wm-other,C,exports,all,113,
2019,nuts2/UKG3,C,exports,all,6257,
2019,nuts2/UKE1,C,exports,all,3175,
2019,nuts2/UKE2,C,exports,all,860,
2019,nuts2/UKE3,C,exports,all,2071,
2019,nuts2/UKE4,C,exports,all,3441,
2019,nuts2/yh-btta,C,exports,all,294,
2019,nuts2/yh-other,C,exports,all,65,
2019,nuts2/UKH2,non-eu,exports,all,6918,
2019,nuts2/ea-other,non-eu,exports,all,130,
2019,nuts2/UKH1,non-eu,exports,all,4872,
2019,nuts2/UKH3,non-eu,exports,all,2968,
2019,nuts2/UKF1,non-eu,exports,all,8747,
2019,nuts2/em-other,non-eu,exports,all,21,
2019,nuts2/UKF2,non-eu,exports,all,2993,
2019,nuts2/UKF3,non-eu,exports,all,542,
2019,nuts2/UKI4,non-eu,exports,all,3961,
2019,nuts2/UKI3,non-eu,exports,all,13689,
2019,nuts2/lo-other,non-eu,exports,all,333,
2019,nuts2/UKI5,non-eu,exports,all,1235,
2019,nuts2/UKI6,non-eu,exports,all,700,
2019,nuts2/UKI7,non-eu,exports,all,4652,
2019,nuts2/ne-other,non-eu,exports,all,55,
2019,nuts2/UKC2,non-eu,exports,all,2819,
2019,nuts2/UKC1,non-eu,exports,all,2499,
2019,nuts2/UKN0,non-eu,exports,all,3757,
2019,nuts2/UKD6,non-eu,exports,all,3798,
2019,nuts2/UKD1,non-eu,exports,all,933,
2019,nuts2/UKD3,non-eu,exports,all,2750,
2019,nuts2/UKD4,non-eu,exports,all,2443,
2019,nuts2/UKD7,non-eu,exports,all,3073,
2019,nuts2/nw-energy,non-eu,exports,all,30,
2019,nuts2/nw-other,non-eu,exports,all,21,
2019,nuts2/UKM7,non-eu,exports,all,7083,
2019,nuts2/UKM6,non-eu,exports,all,1474,
2019,nuts2/UKM5,non-eu,exports,all,2840,
2019,nuts2/sc-energy,non-eu,exports,all,364,
2019,nuts2/sc-other,non-eu,exports,all,143,
2019,nuts2/UKM9,non-eu,exports,all,2044,
2019,nuts2/UKM8,non-eu,exports,all,3160,
2019,nuts2/UKJ1,non-eu,exports,all,6955,
2019,nuts2/UKJ3,non-eu,exports,all,7589,
2019,nuts2/UKJ4,non-eu,exports,all,1951,
2019,nuts2/se-other,non-eu,exports,all,483,
2019,nuts2/UKJ2,non-eu,exports,all,7689,
2019,nuts2/UKK3,non-eu,exports,all,234,
2019,nuts2/UKK4,non-eu,exports,all,994,
2019,nuts2/UKK2,non-eu,exports,all,2237,
2019,nuts2/UKK1,non-eu,exports,all,8140,
2019,nuts2/sw-other,non-eu,exports,all,303,
2019,nuts2/UKL2,non-eu,exports,all,2029,
2019,nuts2/wa-other,non-eu,exports,all,11,
2019,nuts2/UKL1,non-eu,exports,all,4973,
2019,nuts2/UKG1,non-eu,exports,all,4846,
2019,nuts2/UKG2,non-eu,exports,all,2729,
2019,nuts2/wm-other,non-eu,exports,all,26,
2019,nuts2/UKG3,non-eu,exports,all,9501,
2019,nuts2/UKE1,non-eu,exports,all,2346,
2019,nuts2/UKE2,non-eu,exports,all,620,
2019,nuts2/UKE3,non-eu,exports,all,1691,
2019,nuts2/UKE4,non-eu,exports,all,2550,
2019,nuts2/yh-other,non-eu,exports,all,14,
2019,nuts2/UKH2,C,imports,all,12898,
2019,nuts2/ea-btta,C,imports,all,1790,
2019,nuts2/ea-energy,C,imports,all,354,
2019,nuts2/ea-other,C,imports,all,176,
2019,nuts2/UKH1,C,imports,all,7111,
2019,nuts2/UKH3,C,imports,all,6854,
2019,nuts2/UKF1,C,imports,all,7363,
2019,nuts2/em-btta,C,imports,all,1349,
2019,nuts2/em-other,C,imports,all,73,
2019,nuts2/UKF2,C,imports,all,5661,
2019,nuts2/UKF3,C,imports,all,1779,
2019,nuts2/UKI4,C,imports,all,6155,
2019,nuts2/UKI3,C,imports,all,13702,
2019,nuts2/lo-btta,C,imports,all,2828,
2019,nuts2/lo-other,C,imports,all,354,
2019,nuts2/UKI5,C,imports,all,2892,
2019,nuts2/UKI6,C,imports,all,2009,
2019,nuts2/UKI7,C,imports,all,8124,
2019,nuts2/ne-btta,C,imports,all,390,
2019,nuts2/ne-other,C,imports,all,31,
2019,nuts2/UKC2,C,imports,all,5398,
2019,nuts2/UKC1,C,imports,all,2675,
2019,nuts2/UKN0,C,imports,all,5374,
2019,nuts2/UKD6,C,imports,all,4839,
2019,nuts2/UKD1,C,imports,all,811,
2019,nuts2/UKD3,C,imports,all,7049,
2019,nuts2/UKD4,C,imports,all,3513,
2019,nuts2/UKD7,C,imports,all,3584,
2019,nuts2/nw-btta,C,imports,all,1722,
2019,nuts2/nw-other,C,imports,all,132,
2019,nuts2/UKM7,C,imports,all,3122,
2019,nuts2/UKM6,C,imports,all,593,
2019,nuts2/UKM5,C,imports,all,871,
2019,nuts2/sc-btta,C,imports,all,905,
2019,nuts2/sc-other,C,imports,all,168,
2019,nuts2/UKM9,C,imports,all,949,
2019,nuts2/UKM8,C,imports,all,3415,
2019,nuts2/UKJ1,C,imports,all,30522,
2019,nuts2/UKJ3,C,imports,all,9502,
2019,nuts2/UKJ4,C,imports,all,4471,
2019,nuts2/se-btta,C,imports,all,2614,
2019,nuts2/se-energy,C,imports,all,790,
2019,nuts2/se-other,C,imports,all,440,
2019,nuts2/UKJ2,C,imports,all,13578,
2019,nuts2/UKK3,C,imports,all,313,
2019,nuts2/UKK4,C,imports,all,1166,
2019,nuts2/UKK2,C,imports,all,1971,
2019,nuts2/UKK1,C,imports,all,5868,
2019,nuts2/sw-btta,C,imports,all,1212,
2019,nuts2/sw-other,C,imports,all,262,
2019,nuts2/UKL2,C,imports,all,2463,
2019,nuts2/wa-btta,C,imports,all,474,
2019,nuts2/wa-energy,C,imports,all,51,
