TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
0,Food & live animals,0,,1
00,Live animals other than animals of division 03,00,0,2
01,Meat & meat preparations,01,0,3
02,Dairy products & birds' eggs,02,0,4
03,"Fish,crustaceans,molluscs & aq.inverts & preps thereof",03,0,5
04,Cereals & cereal preparations,04,0,6
05,Vegetables & fruit,05,0,7
06,"Sugar, sugar preparations & honey",06,0,8
07,"Coffee, tea, cocoa, spices & manufactures thereof",07,0,9
08,Feeding stuff for animals (not inc.unmilled cereals),08,0,10
09,Miscellaneous edible products & preparations,09,0,11
1,Beverages & tobacco,1,,12
11,Beverages,11,1,13
12,Tobacco & tobacco manufactures,12,1,14
2,"Crude materials, inedible, except fuels",2,,15
21,"Hides, skins & furskins, raw",21,2,16
22,Oil seeds & oleaginous fruits,22,2,17
23,Crude rubber (including synthetic & reclaimed),23,2,18
24,Cork & wood,24,2,19
25,Pulp & waste paper,25,2,20
26,Textile fibres not manufactured & their waste etc,26,2,21
27,Crude fertilizers & crude minerals (exc fuels etc),27,2,22
28,Metalliferous ores & metal scrap,28,2,23
29,Crude animal & vegetable materials n.e.s.,29,2,24
3,"Mineral fuels, lubricants & related materials",3,,25
32,"Coal, coke & briquettes",32,3,26
33,"Petroleum, petroleum products & related materials",33,3,27
34,"Gas, natural & manufactured",34,3,28
35,Electric current,35,3,29
4,"Animal & vegetable oils, fats & waxes",4,,30
41,Animal oils & fats,41,4,31
42,"Fixed vegetable fats & oils, crude,refined,fractionated",42,4,32
43,"Animal or vegetable fats & oils, processed, & waxes",43,4,33
5,"Chemicals & related products, nes",5,,34
51,Organic chemicals,51,5,35
52,Inorganic chemicals,52,5,36
53,"Dyeing, tanning & colouring materials",53,5,37
54,Medicinal & pharmaceutical products,54,5,38
55,Essential oils & perfume materials; toilet preps etc,55,5,39
56,Fertilizers (other than those of group 272),56,5,40
57,Plastics in primary forms,57,5,41
58,Plastics in non-primary forms,58,5,42
59,Chemical materials & products n.e.s.,59,5,43
6,Manufactured goods classified chiefly by material,6,,44
61,"Leather, leather manufactures n.e.s & dressed furskins",61,6,45
62,Rubber manufactures n.e.s.,62,6,46
63,Cork & wood manufactures (excluding furniture),63,6,47
64,"Paper, paperboard & manufactures thereof",64,6,48
65,"Textile yarn, fabrics, made up articles etc",65,6,49
66,Non-metallic mineral manufactures n.e.s.,66,6,50
67,Iron & steel,67,6,51
68,Non-ferrous metals,68,6,52
69,Manufactures of metal n.e.s.,69,6,53
7,Machinery & transport equipment,7,,54
71,Power generating machinery & equipment,71,7,55
72,Machinery specialized for particular industries,72,7,56
73,Metalworking machinery,73,7,57
74,General industrial machinery & eqp. & machine pt.n.e.s.,74,7,58
75,Office machines & adp machines,75,7,59
76,Telecomms & sound recording & reproducing app. & eqp.,76,7,60
77,"Ele machinery, app & appliances & ele pt thereof n.e.s.",77,7,61
78,Road vehicles (including air cushion vehicles),78,7,62
79,Other transport equipment,79,7,63
8,Miscellaneous manufactured articles,8,,64
81,"P/fab buildings;sanit.,plumbing,heating &lighting fixt.",81,8,65
82,"Furniture & parts thereof; bedding, mattresses etc",82,8,66
83,"Travel goods, handbags & similar containers",83,8,67
84,Articles of apparel & clothing accessories,84,8,68
85,Footwear,85,8,69
87,"Professional, scientific & controlling ins & app n.e.s.",87,8,70
88,"Photographic & optical goods, n.e.s.; watches & clocks",88,8,71
89,Miscellaneous manufactured articles n.e.s.,89,8,72
9,Commodities/transactions not class'd elsewhere in SITC,9,,73
91,Postal packages not classified according to kind,91,9,74
93,Special transactions and commodities not classified according to kind,93,9,75
96,"Coin (other than gold coin), not being of legal tender",96,9,76
97,"Gold, non-monetory (exc gold ores and contentrates) and gold coin not of legal tender",97,9,77
98,Military arms and ammunition,98,9,78
99,Estimates not elsewhere classified,99,9,79
001,Live animals other than animals of division 03,00100,00,80
001.1,"Bovine animals, live",00110,00100,81
001.11,Pure bred breeding animals,00111,00100,82
001.19,Other than pure bred breeding animals,00119,00100,83
001.2,"Sheep and goats, live",00120,00100,84
001.21,"Sheep, live",00121,00100,85
001.22,"Goats, live",00122,00100,86
001.3,"Swine, live",00130,00100,87
001.31,Pure bred breeding animals,00131,00100,88
001.39,Other than pure bred breeding animals,00139,00100,89
001.4,"Poultry, live (ie fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls)",00140,00100,90
001.41,"Poultry, live (ie guinea fowls, fowls of species gallus domesticus, ducks, geese & turkeys): wgt nmt 185 gm",00141,00100,91
001.49,"Poultry, live (ie guinea fowls, fowls of species gallus domesticus, ducks, geese & turkeys): wgt m/t 185 gm",00149,00100,92
001.5,"Horses, asses, mules and hinnies live",00150,00100,93
001.51,Horses,00151,00100,94
001.52,"Asses, mules and hinnies",00152,00100,95
001.9,"Live animals, nes",00190,00100,96
011,"Meat of bovine animals, fresh, chilled or frozen",01100,01,97
011.1,"Meat of bovine animals, fresh or chilled",01110,01100,98
011.11,"Meat of bovine animals, with bone in, fresh or chilled",01111,01100,99
011.12,"Meat of bovine animals, boneless, fresh or chilled",01112,01100,100
011.2,"Meat of bovine animals, frozen",01120,01100,101
011.21,"Meat of bovine animals, with bone in, frozen",01121,01100,102
011.22,"Meat of bovine animals, boneless, frozen",01122,01100,103
012,"Other meat & edible meat offal, fresh, chilled or frozen (exc meat & meat offal unfit for human consumption)",01200,01,104
012.1,"Meat of sheep or goats, fresh, chilled or frozen",01210,01200,105
012.11,"Meat of sheep, fresh or chilled",01211,01200,106
012.12,"Meat of sheep, frozen",01212,01200,107
012.13,"Meat of goats, fresh, chilled or frozen",01213,01200,108
012.2,"Meat of swine, fresh, chilled or frozen",01220,01200,109
012.21,"Meat of swine, fresh or chilled",01221,01200,110
012.22,"Meat of swine, frozen",01222,01200,111
012.3,"Meat and edible offal of the poultry of heading 001.40, fresh, chilled or frozen",01230,01200,112
012.31,"Poultry not cut in pieces, fresh or chilled",01231,01200,113
012.32,"Poultry not cut in pieces, frozen",01232,01200,114
012.33,"Fatty livers of geese or ducks, fresh or chilled",01233,01200,115
012.34,"Poultry cuts and other offal, fresh or chilled",01234,01200,116
012.35,"Poultry cuts and offal, frozen",01235,01200,117
012.36,"Poultry livers, frozen",01236,01200,118
012.4,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",01240,01200,119
012.5,"Edible offal of bovine animals,swine,sheep,goats, horses, asses, mules or hinnies, fresh chilled or frozen",01250,01200,120
012.51,"Edible offal of bovine animals, fresh or chilled",01251,01200,121
012.52,"Edible offal of bovine animals, frozen",01252,01200,122
012.53,"Edible offal of swine, fresh or chilled",01253,01200,123
012.54,"Edible offal of swine, frozen",01254,01200,124
012.55,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",01255,01200,125
012.56,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",01256,01200,126
012.9,"Meat and edible meat offal, fresh, chilled or frozen, nes",01290,01200,127
012.91,Meat and edible meat offal of rabbits or hares,01291,01200,128
012.92,Frogs' legs,01292,01200,129
012.93,Snails (other than sea snails),01293,01200,130
012.99,"Other meat and edible meat offal, fresh, chilled or frozen",01299,01200,131
016,"Meat & edible meat offal, salted, in brine, dried or smoked; edible flours & meals of meat or meat offal",01600,01,132
016.1,"Bacon, ham and other dried, salted or smoked meat of swine",01610,01600,133
016.11,"Hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked",01611,01600,134
016.12,"Bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",01612,01600,135
016.19,"Other dried, salted or smoked meat of swine",01619,01600,136
016.8,"Meat & edible meat offal(o/t meat of swine)salted, in brine,dried/smkd;edible flours/meals of meat/meat offal",01680,01600,137
016.81,"Meat of bovine animals, salted, in brine, dried or smoked",01681,01600,138
016.89,Other meat and edible meat offal of heading 016.80,01689,01600,139
017,"Meat and edible meat offal, prepared or preserved, nes",01700,01,140
017.1,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",01710,01700,141
017.2,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",01720,01700,142
017.3,"Liver of any animal, prepared or preserved, nes",01730,01700,143
017.4,"Meat and offal (other than liver) of poultry of heading 001.40, prepared or preserved, nes",01740,01700,144
017.5,"Meat and offal (other than liver), of swine, prepared or preserved, nes",01750,01700,145
017.6,"Meat and offal (other than liver), of bovine animals, prepared or preserved, nes",01760,01700,146
017.9,Other prepared or preserved meat or meat offal (inc preparations of blood of any animal),01790,01700,147
022,Milk and cream and milk products other than butter or cheese,02200,02,148
022.1,"Milk (including skimmed milk) and cream, not concentrated or sweetened",02210,02200,149
022.11,"Milk of a fat content, by weight, not exceeding 1%",02211,02200,150
022.12,"Milk and cream, of a fat content, by weight, exceeding 1% but not exceeding 6%",02212,02200,151
022.13,"Cream of a fat content, by weight, exceeding 6%",02213,02200,152
022.2,"Milk and cream, concentrated or sweetened",02220,02200,153
022.21,"Milk, in solid form, of a fat content, by weight, not exceeding 1.5%",02221,02200,154
022.22,"Milk and cream, in solid form, of a fat content, by weight, exceeding 1.5%",02222,02200,155
022.23,"Milk and cream, not in solid form, not containing added sugar or other sweetening matter",02223,02200,156
022.24,"Milk and cream, not in solid form, containing added sugar or other sweetening matter",02224,02200,157
022.3,"Yogurt;buttermilk, curdled, fermented or acidified milk and cream; ice cream",02230,02200,158
