Label,URI,Parent URI,Sort Priority,Description,Local Notation
North East,http://statistics.data.gov.uk/id/statistical-geography/E12000001,,,,
North West,http://statistics.data.gov.uk/id/statistical-geography/E12000002,,,,
Yorkshire and The Humber,http://statistics.data.gov.uk/id/statistical-geography/E12000003,,,,
East Midlands,http://statistics.data.gov.uk/id/statistical-geography/E12000004,,,,
West Midlands,http://statistics.data.gov.uk/id/statistical-geography/E12000005,,,,
East of England,http://statistics.data.gov.uk/id/statistical-geography/E12000006,,,,
London,http://statistics.data.gov.uk/id/statistical-geography/E12000007,,,,
South East,http://statistics.data.gov.uk/id/statistical-geography/E12000008,,,,
South West,http://statistics.data.gov.uk/id/statistical-geography/E12000009,,,,
Wales,http://statistics.data.gov.uk/id/statistical-geography/W92000004,,,,
Scotland,http://statistics.data.gov.uk/id/statistical-geography/S92000003,,,,
Northern Ireland,http://statistics.data.gov.uk/id/statistical-geography/N92000002,,,,
Unallocated (Known),http://gss-data.org.uk/data/gss_data/trade/hmrc-regional-trade-statistics#concept/uk-region/unallocated-known,,,,unallocated-known
Unallocated (Unknown),http://gss-data.org.uk/data/gss_data/trade/hmrc-regional-trade-statistics#concept/uk-region/unallocated-unknown,,,,unallocated-unknown
