Label,Notation,Parent Notation,Sort Priority,Description
Austria,itis/austria,itis/european-union-eu,1,
Belgium,itis/belgium,itis/european-union-eu,2,
Bulgaria,itis/bulgaria,itis/european-union-eu,3,
Croatia,itis/croatia,itis/european-union-eu,4,
Cyprus,itis/cyprus,itis/european-union-eu,5,
Czech Republic,itis/czech-republic,itis/european-union-eu,6,
Denmark,itis/denmark,itis/european-union-eu,7,
Estonia,itis/estonia,itis/european-union-eu,8,
Finland,itis/finland,itis/european-union-eu,9,
France,itis/france,itis/european-union-eu,10,
Germany,itis/germany,itis/european-union-eu,11,
Greece,itis/greece,itis/european-union-eu,12,
Hungary,itis/hungary,itis/european-union-eu,13,
Irish Republic,itis/irish-republic,itis/european-union-eu,14,
Italy,itis/italy,itis/european-union-eu,15,
Latvia,itis/latvia,itis/european-union-eu,16,
Lithuania,itis/lithuania,itis/european-union-eu,17,
Luxembourg,itis/luxembourg,itis/european-union-eu,18,
Malta,itis/malta,itis/european-union-eu,19,
Netherlands,itis/netherlands,itis/european-union-eu,20,
Poland,itis/poland,itis/european-union-eu,21,
Portugal,itis/portugal,itis/european-union-eu,22,
Romania,itis/romania,itis/european-union-eu,23,
Slovakia,itis/slovakia,itis/european-union-eu,24,
Slovenia,itis/slovenia,itis/european-union-eu,25,
Spain,itis/spain,itis/european-union-eu,26,
Sweden,itis/sweden,itis/european-union-eu,27,
EU Institutions,itis/eu-institutions,itis/european-union-eu,28,
Iceland,itis/iceland,itis/efta,30,
Liechtenstein,itis/liechtenstein,itis/efta,31,
Norway,itis/norway,itis/efta,32,
Switzerland,itis/switzerland,itis/efta,33,
EFTA,itis/efta,itis/world,34,
Russia,itis/russia,itis/europe,35,
Channel Islands,itis/channel-islands,itis/europe,36,
Isle of Man,itis/isle-of-man,itis/europe,37,
Turkey,itis/turkey,itis/europe,38,
Rest of Europe,itis/rest-of-europe,itis/europe,39,
Europe Unallocated,itis/europe-unallocated,itis/europe,40,
Europe,itis/europe,itis/world,41,
Brazil,itis/brazil,itis/america,42,
Canada,itis/canada,itis/america,43,
Mexico,itis/mexico,itis/america,44,
USA,itis/usa,itis/america,45,
Rest of America,itis/rest-of-america,itis/america,46,
America Unallocated,itis/america-unallocated,itis/america,47,
America,itis/america,itis/world,48,
China,itis/china,itis/asia,49,
Hong Kong,itis/hong-kong,itis/asia,50,
India,itis/india,itis/asia,51,
Indonesia,itis/indonesia,itis/asia,52,
Israel,itis/israel,itis/asia,53,
Japan,itis/japan,itis/asia,54,
Malaysia,itis/malaysia,itis/asia,55,
Pakistan,itis/pakistan,itis/asia,56,
Philippines,itis/philippines,itis/asia,57,
Saudi Arabia,itis/saudi-arabia,itis/asia,58,
Singapore,itis/singapore,itis/asia,59,
South Korea,itis/south-korea,itis/asia,60,
Taiwan,itis/taiwan,itis/asia,61,
Thailand,itis/thailand,itis/asia,62,
Rest of Asia,itis/rest-of-asia,itis/asia,63,
Asia Unallocated,itis/asia-unallocated,itis/asia,64,
Asia,itis/asia,itis/world,65,
Australia,itis/australia,itis/australasia-oceania-and-others,66,
New Zealand,itis/new-zealand,itis/australasia-oceania-and-others,67,
Rest of Australia and Oceania,itis/rest-of-australia-and-oceania,itis/australasia-oceania-and-others,68,
Oceania Unallocated,itis/oceania-unallocated,itis/australasia-oceania-and-others,69,
Australasia and Oceania,itis/australasia-and-oceania,itis/world,70,
Nigeria,itis/nigeria,itis/africa,71,
South Africa,itis/south-africa,itis/africa,72,
Rest of Africa,itis/rest-of-africa,itis/africa,73,
Africa Unallocated,itis/africa-unallocated,itis/africa,74,
Africa,itis/africa,itis/world,75,
International Organisations,itis/international-organisations,itis/world,76,
World,itis/world,,77,
Total Unallocated,itis/unallocated,itis/australasia-oceania-and-others,78,
Australasia and Oceania and Total Unallocated,itis/australasia-oceania-and-total-unallocated,itis/world,79,
"Australasia, Oceania and Others",itis/australasia-oceania-and-others,itis/world,80,
European Union (EU),itis/european-union-eu,itis/europe,81,
Australasia and Oceania and Total Unallocated,itis/australasia-and-oceania-and-total-unallocated,itis/world,82,
