Industry Grouping,SIC07 Mapping
Primary utilities,A
Primary utilities,B
Primary utilities,D
Primary utilities,E
Manufacturing,C
Construction,F
Wholesale motor trade,45
Wholesale motor trade,46
Retail excl motor trade,47
Transportation and storage,H
Accommodation food service,I
Information communication,J
Financial insurance,K
Real estate,L
Professional scientific technical,M
Administrative support service,N
Other-service-industries,O
Other-service-industries,P
Other-service-industries,Q
Other-service-industries,R
Other-service-industries,S
