Label,Notation,Parent Notation,Sort Priority
Total,Total,,0
"A Products of agriculture, forestry & fishing",A,Total,1
01 Products of agriculture,01,A,2
01.1 Non-perennial crops,01.1,01,3
01.2 Perennial crops,01.2,01,4
01.3 Planting material,01.3,01,5
01.4 Live animals & animal products,01.4,01,6
02 Forestry products,02,A,7
02.1 Trees & their seeds,02.1,02,8
02.2 Wood in the rough,02.2,02,9
02.3 Wild growing non-wood products,02.3,02,10
03 Fish & other fishing products; aquaculture products,03,A,11
B Mining & quarrying,B,Total,12
05 Coal & lignite,05,B,13
05.1 Coal,05.1,05,14
05.2 Lignite,05.2,05,15
06 Crude petroleum & natural gas,06,B,16
06.1 Crude petroleum,06.1,06,17
06.2 Natural gas,06.2,06,18
07 Metal ores,07,B,19
07.1 Iron ores,07.1,07,20
07.2 Non-ferrous metal ores,07.2,07,21
08 Other mining & quarrying product,08,B,22
"08.1 Unworked stone, gravel, sand, clays & kaolin",08.1,08,23
08.9 Mining & quarrying products n.e.c,08.9,08,24
C Manufactured products,C,Total,25
10 Food products,10,C,26
10.1 Preserved meat & meat products,10.1,10,27
"10.2-3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",10.2-3,10,28
"10.2 Processed & preserved fish, crustaceans & molluscs",10.2,10,29
10.3 Processed & preserved fruit and vegetables,10.3,10,30
10.4 Vegetable & animal oils & fats,10.4,10,31
10.5 Dairy products,10.5,10,32
"10.6 Grain mill products, starches & starch products",10.6,10,33
10.7 Bakery & farinaceous products,10.7,10,34
10.8 Other food products,10.8,10,35
10.9 Prepared feeds for farm animals,10.9,10,36
11 Beverages,11,C,37
11.01-6 Alcoholic beverages,11.01-6,11,38
11.01 Distilled alcoholic beverages,11.01,11,39
11.02 Wine,11.02,11,40
11.03 Cider & other fruit wines,11.03,11,41
11.04 Other non-distilled fermented beverages,11.04,11,42
11.05 Beer,11.05,11,43
11.06 Malt,11.06,11,44
11.07 Soft drinks & bottled waters,11.07,11,45
12 Tobacco products,12,C,46
12.0 Tobacco products,12.0,12,47
13 Textiles,13,C,48
13.1 Textile yarn & thread,13.1,13,49
13.2 Woven textiles,13.2,13,50
13.9 Other textiles,13.9,13,51
14 Wearing apparel,14,C,52
"14.1 Wearing apparel, except fur apparel",14.1,14,53
14.2 Articles of fur,14.2,14,54
"14.3 Knitted & crocheted hosiery, pullovers & cardigans",14.3,14,55
15 Leather & related products,15,C,56
15.1 Tanned and dressed leather & fur,15.1,15,57
15.2 Footwear,15.2,15,58
"16 Wood, and products of wood, cork",16,C,59
"16.1 Wood, sawn & planed",16.1,16,60
"16.2 Products of wood, cork, straw & plaiting material",16.2,16,61
17 Paper & paper products,17,C,62
"17.1 Pulp, paper & paperboard",17.1,17,63
17.2 Articles of paper & paperboard,17.2,17,64
18 Printing & recording services,18,C,65
18.1 Printing type & blocks,18.1,18,66
19 Coke & refined petroleum product,19,C,67
19.1 Coke oven products,19.1,19,68
19.2 Refined petroleum products,19.2,19,69
20 Chemicals & chemical products,20,C,70
"20A Industrial gases, inorganics",20A,20,71
20.11 Industrial gases,20.11,20,72
20.13 Other inorganic basic chemicals,20.13,20,73
20.15 Fertilisers & nitrogen compounds,20.15,20,74
20B Petrochemicals,20B,20,75
20.14 Other organic basic chemicals,20.14,20,76
20.16 Plastics in primary forms,20.16,20,77
20.17 Synthetic rubber,20.17,20,78
20.6 Man-made fibres,20.6,20,79
"20C Dyestuffs, agro-chemicals",20C,20,80
20.12 Dyes & pigments,20.12,20,81
20.2 Pesticides & other agrochemical products,20.2,20,82
"20.3 Paints, varnishes & printing ink",20.3,20,83
20.4 Cleaning & polishing preparation,20.4,20,84
20.5 Other chemical products,20.5,20,85
21 Pharmaceutical products & preparations,21,C,86
21.1 Basic pharmaceutical products,21.1,21,87
21.2 Pharmaceutical preparations,21.2,21,88
22 Rubber & plastic products,22,C,89
22.1 Rubber products,22.1,22,90
22.2 Plastic products,22.2,22,91
23 Other non-metallic mineral products,23,C,92
"23OTHER Glass, refractory, clay, other porcelain, and ceramic, stone and abrasive products",23OTHER,23,93
23.1 Glass & glass products,23.1,23,94
23.2 Refractory products,23.2,23,95
"23.3 Bricks, tiles etc",23.3,23,96
23.4 Other porcelain & ceramic products,23.4,23,97
"23.7 Cut, shaped & finished stone",23.7,23,98
23.9 Other non-metallic mineral products,23.9,23,99
"23.5-6 Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",23.5-6,23,100
"23.5 Cement, lime & plaster",23.5,23,101
"23.6 Articles of concrete, cement & products",23.6,23,102
24 Basic metals,24,C,103
