Label,Notation,Parent Notation,Sort Priority
Credits,credits,,
Debits,debits,,
Balances,balances,,
Balances as %,balances-as,,
Current Account,current-account,,
Financial Accounts Summary,financial-accounts-summary,,
EU Credits,eu-credits,,
EU Debits,eu-debits,,
EU Balances,eu-balances,,
Non EU Credits,non-eu-credits,,
Non EU Debits,non-eu-debits,,
Non EU Balances,non-eu-balances,,
Investment Abroad International Investment Position,investment-abroad-international-investment-position,,
Investment Abroad Financial Account Transactions,investment-abroad-financial-account-transactions,,
Investment Abroad Investment Income Earnings,investment-abroad-investment-income-earnings,,
Investment In The Uk International Investment Position,investment-in-the-uk-international-investment-position,,
Investment In The Uk Financial Account Transactions,investment-in-the-uk-financial-account-transactions,,
Investment In The Uk Investment Income Earnings,investment-in-the-uk-investment-income-earnings,,
Net Investment International Investment Position,net-investment-international-investment-position,,
Net Investment Financial Account Transactions,net-investment-financial-account-transactions,,
Net Investment Investment Income Earnings,net-investment-investment-income-earnings,,
Exports,exports,,
Imports,imports,,
