Label,Notation,Parent Notation,Sort Priority
Exports of goods,exports-of-goods,,
Exports of services,exports-of-services,,
Total exports,total-exports,,
Primary income Compensation of employees,primary-income-compensation-of-employees,,
Primary income Investment income,primary-income-investment-income,,
Primary income Other primary income,primary-income-other-primary-income,,
Primary income Total,primary-income-total,,
Secondary income Central government,secondary-income-central-government,,
Secondary income Other sectors,secondary-income-other-sectors,,
Secondary income Total,secondary-income-total,,
Total credits,total-credits,,
Imports of goods,imports-of-goods,,
Imports of services,imports-of-services,,
Total imports,total-imports,,
Total debits,total-debits,,
Trade in goods,trade-in-goods,,
Trade in services,trade-in-services,,
Trade total,trade-total,,
Current balance,current-balance,,
Total trade,total-trade,,
Capital balance,capital-balance,,
Direct investment,direct-investment,,
Portfolio investment,portfolio-investment,,
Financial derivatives (net),financial-derivatives-net,,
Other investment,other-investment,,
Reserve assets,reserve-assets,,
Net financial transactions,net-financial-transactions,,
Net errors and omissions [note 2],net-errors-and-omissions-note-2,,
Secondary income General Government,secondary-income-general-government,,
Exports of goods excl. precious metals,exports-of-goods-excl-precious-metals,,
Total exports excl. precious metals,total-exports-excl-precious-metals,,
Total credits excl. precious metals,total-credits-excl-precious-metals,,
Imports of goods excl. precious metals,imports-of-goods-excl-precious-metals,,
Total imports excl. precious metals,total-imports-excl-precious-metals,,
Trade in goods excl. precious metals,trade-in-goods-excl-precious-metals,,
Trade Total excl. precious metals,trade-total-excl-precious-metals,,
Current balance excl. precious metals,current-balance-excl-precious-metals,,
Total trade excl. precious metals,total-trade-excl-precious-metals,,
Primary income credits,primary-income-credits,,
Secondary income credits,secondary-income-credits,,
Primary income debits,primary-income-debits,,
Secondary income debits,secondary-income-debits,,
Primary income balance,primary-income-balance,,
Secondary income balance,secondary-income-balance,,
Total balance,total-balance,,
International investment position Direct investment,international-investment-position-direct-investment,,
International investment position Portfolio investment,international-investment-position-portfolio-investment,,
International investment position Financial derivatives,international-investment-position-financial-derivatives,,
International investment position Other investment,international-investment-position-other-investment,,
International investment position Reserve assets,international-investment-position-reserve-assets,,
International investment position Total,international-investment-position-total,,
Financial account transactions Direct investment,financial-account-transactions-direct-investment,,
Financial account transactions Portfolio investment,financial-account-transactions-portfolio-investment,,
Financial account transactions Financial derivatives (net),financial-account-transactions-financial-derivatives-net,,
Financial account transactions Other investment,financial-account-transactions-other-investment,,
