Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/1997,BOKI,SA,Current Account,Trade in goods,-15720,gbp-million,summary-of-balance-of-payments
year/1997,IKBD,SA,Current Account,Trade in services,18727,gbp-million,summary-of-balance-of-payments
year/1997,IKBJ,SA,Current Account,Total trade,3007,gbp-million,summary-of-balance-of-payments
year/1997,IJAJ,SA,Current Account,"Primary income,Compensation of employees",83,gbp-million,summary-of-balance-of-payments
year/1997,HBOM,SA,Current Account,"Primary income,Investment income",-112,gbp-million,summary-of-balance-of-payments
year/1997,MT5X,SA,Current Account,"Primary income,Other primary income",685,gbp-million,summary-of-balance-of-payments
year/1997,HBOJ,SA,Current Account,"Primary income,Total",656,gbp-million,summary-of-balance-of-payments
year/1997,FNSV,SA,Current Account,"Secondary income,General government",-5977,gbp-million,summary-of-balance-of-payments
year/1997,FNTC,SA,Current Account,"Secondary income,Other sectors",-89,gbp-million,summary-of-balance-of-payments
year/1997,IKBP,SA,Current Account,"Secondary income,Total",-6066,gbp-million,summary-of-balance-of-payments
year/1997,HBOP,SA,Current Account,Current balance,-2403,gbp-million,summary-of-balance-of-payments
year/1997,FNVQ,SA,Current Account,Capital balance,509,gbp-million,summary-of-balance-of-payments
year/1998,BOKI,SA,Current Account,Trade in goods,-25887,gbp-million,summary-of-balance-of-payments
year/1998,IKBD,SA,Current Account,Trade in services,18214,gbp-million,summary-of-balance-of-payments
year/1998,IKBJ,SA,Current Account,Total trade,-7673,gbp-million,summary-of-balance-of-payments
year/1998,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-10,gbp-million,summary-of-balance-of-payments
year/1998,HBOM,SA,Current Account,"Primary income,Investment income",9077,gbp-million,summary-of-balance-of-payments
year/1998,MT5X,SA,Current Account,"Primary income,Other primary income",818,gbp-million,summary-of-balance-of-payments
year/1998,HBOJ,SA,Current Account,"Primary income,Total",9885,gbp-million,summary-of-balance-of-payments
year/1998,FNSV,SA,Current Account,"Secondary income,General government",-8934,gbp-million,summary-of-balance-of-payments
year/1998,FNTC,SA,Current Account,"Secondary income,Other sectors",106,gbp-million,summary-of-balance-of-payments
year/1998,IKBP,SA,Current Account,"Secondary income,Total",-8828,gbp-million,summary-of-balance-of-payments
year/1998,HBOP,SA,Current Account,Current balance,-6616,gbp-million,summary-of-balance-of-payments
year/1998,FNVQ,SA,Current Account,Capital balance,-261,gbp-million,summary-of-balance-of-payments
year/1999,BOKI,SA,Current Account,Trade in goods,-33175,gbp-million,summary-of-balance-of-payments
year/1999,IKBD,SA,Current Account,Trade in services,18290,gbp-million,summary-of-balance-of-payments
year/1999,IKBJ,SA,Current Account,Total trade,-14885,gbp-million,summary-of-balance-of-payments
year/1999,IJAJ,SA,Current Account,"Primary income,Compensation of employees",201,gbp-million,summary-of-balance-of-payments
year/1999,HBOM,SA,Current Account,"Primary income,Investment income",-4386,gbp-million,summary-of-balance-of-payments
year/1999,MT5X,SA,Current Account,"Primary income,Other primary income",709,gbp-million,summary-of-balance-of-payments
year/1999,HBOJ,SA,Current Account,"Primary income,Total",-3476,gbp-million,summary-of-balance-of-payments
year/1999,FNSV,SA,Current Account,"Secondary income,General government",-7371,gbp-million,summary-of-balance-of-payments
year/1999,FNTC,SA,Current Account,"Secondary income,Other sectors",-455,gbp-million,summary-of-balance-of-payments
year/1999,IKBP,SA,Current Account,"Secondary income,Total",-7826,gbp-million,summary-of-balance-of-payments
year/1999,HBOP,SA,Current Account,Current balance,-26187,gbp-million,summary-of-balance-of-payments
year/1999,FNVQ,SA,Current Account,Capital balance,-258,gbp-million,summary-of-balance-of-payments
year/2000,BOKI,SA,Current Account,Trade in goods,-39479,gbp-million,summary-of-balance-of-payments
year/2000,IKBD,SA,Current Account,Trade in services,21340,gbp-million,summary-of-balance-of-payments
year/2000,IKBJ,SA,Current Account,Total trade,-18139,gbp-million,summary-of-balance-of-payments
year/2000,IJAJ,SA,Current Account,"Primary income,Compensation of employees",150,gbp-million,summary-of-balance-of-payments
