Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2010,BPM5,Europe,Total Net Fdi In The Uk,All Activities,8957.0,
inward,2011,BPM5,Europe,Total Net Fdi In The Uk,All Activities,-28258.0,
inward,2012,BPM6,Europe,Total Net Fdi In The Uk,All Activities,22830.0,
inward,2013,BPM6,Europe,Total Net Fdi In The Uk,All Activities,9456.0,
inward,2014,BPM6,Europe,Total Net Fdi In The Uk,All Activities,-8.0,
inward,2015,BPM6,Europe,Total Net Fdi In The Uk,All Activities,-12305.0,
inward,2016,BPM6,Europe,Total Net Fdi In The Uk,All Activities,135463.0,
inward,2017,BPM6,Europe,Total Net Fdi In The Uk,All Activities,37953.0,
inward,2018,BPM6,Europe,Total Net Fdi In The Uk,All Activities,8951.0,
inward,2019,BPM6,Europe,Total Net Fdi In The Uk,All Activities,24141.0,
inward,2010,BPM5,Eu,Total Net Fdi In The Uk,All Activities,-922.0,
inward,2011,BPM5,Eu,Total Net Fdi In The Uk,All Activities,-23682.0,
inward,2012,BPM6,Eu,Total Net Fdi In The Uk,All Activities,15381.0,
inward,2013,BPM6,Eu,Total Net Fdi In The Uk,All Activities,-466.0,
inward,2014,BPM6,Eu,Total Net Fdi In The Uk,All Activities,2911.0,
inward,2015,BPM6,Eu,Total Net Fdi In The Uk,All Activities,-13807.0,
inward,2016,BPM6,Eu,Total Net Fdi In The Uk,All Activities,129768.0,
inward,2017,BPM6,Eu,Total Net Fdi In The Uk,All Activities,21200.0,
inward,2018,BPM6,Eu,Total Net Fdi In The Uk,All Activities,-12542.0,
inward,2019,BPM6,Eu,Total Net Fdi In The Uk,All Activities,28209.0,
inward,2010,BPM5,Austria,Total Net Fdi In The Uk,All Activities,170.0,
inward,2011,BPM5,Austria,Total Net Fdi In The Uk,All Activities,876.0,
inward,2012,BPM6,Austria,Total Net Fdi In The Uk,All Activities,-74.0,
inward,2013,BPM6,Austria,Total Net Fdi In The Uk,All Activities,21.0,
inward,2014,BPM6,Austria,Total Net Fdi In The Uk,All Activities,-87.0,
inward,2015,BPM6,Austria,Total Net Fdi In The Uk,All Activities,32.0,
inward,2016,BPM6,Austria,Total Net Fdi In The Uk,All Activities,32.0,
inward,2017,BPM6,Austria,Total Net Fdi In The Uk,All Activities,-25.0,
inward,2018,BPM6,Austria,Total Net Fdi In The Uk,All Activities,62.0,
inward,2019,BPM6,Austria,Total Net Fdi In The Uk,All Activities,37.0,
inward,2010,BPM5,Belgium,Total Net Fdi In The Uk,All Activities,416.0,
inward,2011,BPM5,Belgium,Total Net Fdi In The Uk,All Activities,5416.0,
inward,2012,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,2048.0,
inward,2013,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,724.0,
inward,2014,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,-1947.0,
inward,2015,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,-540.0,
inward,2016,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2017,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,4688.0,
inward,2018,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,2555.0,
inward,2019,BPM6,Belgium,Total Net Fdi In The Uk,All Activities,2255.0,
inward,2010,BPM5,Bulgaria,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Bulgaria,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2012,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,-2.0,
inward,2013,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2014,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2015,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,-2.0,
inward,2016,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2017,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,1.0,
inward,2018,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,16.0,
inward,2019,BPM6,Bulgaria,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2010,BPM5,Croatia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Croatia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2012,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2016,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2017,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2018,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2019,BPM6,Croatia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2010,BPM5,Cyprus,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Cyprus,Total Net Fdi In The Uk,All Activities,-1639.0,
inward,2012,BPM6,Cyprus,Total Net Fdi In The Uk,All Activities,-192.0,
inward,2013,BPM6,Cyprus,Total Net Fdi In The Uk,All Activities,265.0,
inward,2014,BPM6,Cyprus,Total Net Fdi In The Uk,All Activities,61.0,
inward,2015,BPM6,Cyprus,Total Net Fdi In The Uk,All Activities,388.0,
inward,2016,BPM6,Cyprus,Total Net Fdi In The Uk,All Activities,162.0,
