Label,Notation,Parent Notation,Sort Priority,Description
Africa,africa,,0,
Asia,asia,,1,
Australasia & Oceania,australasia-oceania,,2,
Australia,australia,,3,
Austria,austria,,4,
Belgium,belgium,,5,
Bermuda,bermuda,,6,
Brazil,brazil,,7,
Bulgaria,bulgaria,,8,
Canada,canada,,9,
Central & Eastern Europe,central-eastern-europe,,10,
Chile,chile,,11,
China,china,,12,
Colombia,colombia,,13,
Croatia,croatia,,14,
Cyprus,cyprus,,15,
Czech Republic,czech-republic,,16,
Denmark,denmark,,17,
Efta,efta,,18,
Estonia,estonia,,19,
Eu,eu,,20,
Europe,europe,,21,
Finland,finland,,22,
France,france,,23,
Germany,germany,,24,
Greece,greece,,25,
Gulf Arabian Countries,gulf-arabian-countries,,26,
Hong Kong,hong-kong,,27,
Hungary,hungary,,28,
India,india,,29,
Indonesia,indonesia,,30,
Irish Republic,irish-republic,,31,
Italy,italy,,32,
Japan,japan,,33,
Kenya,kenya,,34,
Latvia,latvia,,35,
Lithuania,lithuania,,36,
Luxembourg,luxembourg,,37,
Malaysia,malaysia,,38,
Malta,malta,,39,
Mexico,mexico,,40,
Near & Middle East Countries,near-middle-east-countries,,41,
Netherlands,netherlands,,42,
New Zealand,new-zealand,,43,
Nigeria,nigeria,,44,
Norway,norway,,45,
Oecd,oecd,,46,
Other Asian Countries,other-asian-countries,,47,
Other European Countries,other-european-countries,,48,
Panama,panama,,49,
Poland,poland,,50,
Portugal,portugal,,51,
Romania,romania,,52,
Russia,russia,,53,
Singapore,singapore,,54,
Slovakia,slovakia,,55,
Slovenia,slovenia,,56,
South Africa,south-africa,,57,
South Korea,south-korea,,58,
Spain,spain,,59,
Sweden,sweden,,60,
Switzerland,switzerland,,61,
Thailand,thailand,,62,
The Americas,the-americas,,63,
Uk Offshore Islands,uk-offshore-islands,,64,
Usa,usa,,65,
World Total,world-total,,66,
Zimbabwe,zimbabwe,,67,
