Label,Notation,Parent Notation,Sort Priority,Description
Amount Due To Foreign Parent Companies On Inter-Company Account At End Period,amount-due-to-foreign-parent-companies-on-inter-company-account-at-end-period,,0,
Amount Due To Uk Parent Companies On Inter-Company Account At End Period,amount-due-to-uk-parent-companies-on-inter-company-account-at-end-period,,1,
Earnings Fdi Foreign Branches,earnings-fdi-foreign-branches,,2,
Earnings Fdi Foreign Subsidiaries And Associates            ,earnings-fdi-foreign-subsidiaries-and-associates,,3,
Earnings Fdi Net Interest Accrued By Uk Companies,earnings-fdi-net-interest-accrued-by-uk-companies,,4,
Earnings Fdi Net Interest Accrued To Foreign Parent Companies,earnings-fdi-net-interest-accrued-to-foreign-parent-companies,,5,
Earnings Fdi Total Net Fdi Earnings Abroad,earnings-fdi-total-net-fdi-earnings-abroad,,6,
Earnings Fdi Total Net Fdi Earnings In The Uk,earnings-fdi-total-net-fdi-earnings-in-the-uk,,7,
Earnings Fdi Uk Branches,earnings-fdi-uk-branches,,8,
Earnings Fdi Uk Subsidiaries And Associates                            ,earnings-fdi-uk-subsidiaries-and-associates,,9,
Fdi Acquisition Of Foreign Companies' Share & Loan Capital,fdi-acquisition-of-foreign-companies-share-loan-capital,,10,
Fdi Acquisition Of Uk Companies' Share & Loan Capital,fdi-acquisition-of-uk-companies-share-loan-capital,,11,
Fdi Disposal Of Foreign Companies' Share & Loan Capital,fdi-disposal-of-foreign-companies-share-loan-capital,,12,
Fdi Disposal Of Uk Companies' Share & Loan Capital,fdi-disposal-of-uk-companies-share-loan-capital,,13,
Fdi Foreign Branches,fdi-foreign-branches,,14,
Fdi Foreign Subsidiaries And Associates,fdi-foreign-subsidiaries-and-associates,,15,
Fdi Increase In Amounts Due To Foreign Parents On Inter-Company Account,fdi-increase-in-amounts-due-to-foreign-parents-on-inter-company-account,,16,
Fdi Increase In Amounts Due To Uk Parents On Inter-Company Account,fdi-increase-in-amounts-due-to-uk-parents-on-inter-company-account,,17,
Fdi Less Dividends Paid To Foreign Parent Companies,fdi-less-dividends-paid-to-foreign-parent-companies,,18,
Fdi Less Dividends Received By Uk Companies,fdi-less-dividends-received-by-uk-companies,,19,
Fdi Total Net Foreign Direct Investment Abroad,fdi-total-net-foreign-direct-investment-abroad,,20,
Fdi Total Net Foreign Direct Investment In The Uk,fdi-total-net-foreign-direct-investment-in-the-uk,,21,
Fdi Uk Branches,fdi-uk-branches,,22,
Fdi Uk Subsidiaries And Associates,fdi-uk-subsidiaries-and-associates,,23,
Fdi Unremitted Profits (Reinvested Earnings),fdi-unremitted-profits-reinvested-earnings,,24,
Foreign Branches,foreign-branches,,25,
Foreign Subsidiaries And Associates ,foreign-subsidiaries-and-associates,,26,
Total Net Fdi Abroad,total-net-fdi-abroad,,27,
Total Net Fdi Earnings Abroad,total-net-fdi-earnings-abroad,,28,
Total Net Fdi Earnings In The Uk,total-net-fdi-earnings-in-the-uk,,29,
Total Net Fdi In The Uk,total-net-fdi-in-the-uk,,30,
Total Net Fdi International Investment Position Abroad At End Period,total-net-fdi-international-investment-position-abroad-at-end-period,,31,
Total Net Fdi International Investment Position In The Uk At End Period,total-net-fdi-international-investment-position-in-the-uk-at-end-period,,32,
Uk Branches,uk-branches,,33,
Uk Subsidiaries And Associates,uk-subsidiaries-and-associates,,34,
