Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2010,BPM5,europe,total-net-fdi-in-the-uk,all-activities,8957.0,
inward,2011,BPM5,europe,total-net-fdi-in-the-uk,all-activities,-28258.0,
inward,2012,BPM6,europe,total-net-fdi-in-the-uk,all-activities,22830.0,
inward,2013,BPM6,europe,total-net-fdi-in-the-uk,all-activities,9456.0,
inward,2014,BPM6,europe,total-net-fdi-in-the-uk,all-activities,-8.0,
inward,2015,BPM6,europe,total-net-fdi-in-the-uk,all-activities,-12305.0,
inward,2016,BPM6,europe,total-net-fdi-in-the-uk,all-activities,135463.0,
inward,2017,BPM6,europe,total-net-fdi-in-the-uk,all-activities,37953.0,
inward,2018,BPM6,europe,total-net-fdi-in-the-uk,all-activities,8951.0,
inward,2019,BPM6,europe,total-net-fdi-in-the-uk,all-activities,24141.0,
inward,2010,BPM5,eu,total-net-fdi-in-the-uk,all-activities,-922.0,
inward,2011,BPM5,eu,total-net-fdi-in-the-uk,all-activities,-23682.0,
inward,2012,BPM6,eu,total-net-fdi-in-the-uk,all-activities,15381.0,
inward,2013,BPM6,eu,total-net-fdi-in-the-uk,all-activities,-466.0,
inward,2014,BPM6,eu,total-net-fdi-in-the-uk,all-activities,2911.0,
inward,2015,BPM6,eu,total-net-fdi-in-the-uk,all-activities,-13807.0,
inward,2016,BPM6,eu,total-net-fdi-in-the-uk,all-activities,129768.0,
inward,2017,BPM6,eu,total-net-fdi-in-the-uk,all-activities,21200.0,
inward,2018,BPM6,eu,total-net-fdi-in-the-uk,all-activities,-12542.0,
inward,2019,BPM6,eu,total-net-fdi-in-the-uk,all-activities,28209.0,
inward,2010,BPM5,austria,total-net-fdi-in-the-uk,all-activities,170.0,
inward,2011,BPM5,austria,total-net-fdi-in-the-uk,all-activities,876.0,
inward,2012,BPM6,austria,total-net-fdi-in-the-uk,all-activities,-74.0,
inward,2013,BPM6,austria,total-net-fdi-in-the-uk,all-activities,21.0,
inward,2014,BPM6,austria,total-net-fdi-in-the-uk,all-activities,-87.0,
inward,2015,BPM6,austria,total-net-fdi-in-the-uk,all-activities,32.0,
inward,2016,BPM6,austria,total-net-fdi-in-the-uk,all-activities,32.0,
inward,2017,BPM6,austria,total-net-fdi-in-the-uk,all-activities,-25.0,
inward,2018,BPM6,austria,total-net-fdi-in-the-uk,all-activities,62.0,
inward,2019,BPM6,austria,total-net-fdi-in-the-uk,all-activities,37.0,
inward,2010,BPM5,belgium,total-net-fdi-in-the-uk,all-activities,416.0,
inward,2011,BPM5,belgium,total-net-fdi-in-the-uk,all-activities,5416.0,
inward,2012,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,2048.0,
inward,2013,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,724.0,
inward,2014,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,-1947.0,
inward,2015,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,-540.0,
inward,2016,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2017,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,4688.0,
inward,2018,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,2555.0,
inward,2019,BPM6,belgium,total-net-fdi-in-the-uk,all-activities,2255.0,
inward,2010,BPM5,bulgaria,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,bulgaria,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2012,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,-2.0,
inward,2013,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2014,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2015,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,-2.0,
inward,2016,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2017,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2018,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,16.0,
inward,2019,BPM6,bulgaria,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2010,BPM5,croatia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,croatia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2012,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2016,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2017,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2018,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2019,BPM6,croatia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2010,BPM5,cyprus,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,cyprus,total-net-fdi-in-the-uk,all-activities,-1639.0,
inward,2012,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,-192.0,
inward,2013,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,265.0,
inward,2014,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,61.0,
inward,2015,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,388.0,
inward,2016,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,162.0,
