Label,Notation,Parent Notation
Trade in services - Total,0,
Trade in services - Manufacturing on physical inputs owned by others,1,0
Trade in services - Maintenance and repair,2,0
Trade in services - Transport,3,0
Trade in services - Travel,4,0
Trade in services - Construction,5,0
Trade in services - Insurance and pension services,6,0
Trade in services - Financial,7,0
Trade in services - Intellectual property,8,0
"Trade in services - Telecommunication, computer and information services",9,0
Trade in services - Other business,10,0
"Trade in services - Personal, cultural and recreational services",11,0
Trade in services - Government,12,0
Transport - Sea transport - Total sea transport,3.1,3
Transport - Air transport - Total air transport,3.2,3
Transport - Other transport - Total other transport,3.3,3
Transport - Postal and courier services,3.4,3
Transport - Sea transport - Passenger,3.1.1,3.1
Transport - Sea transport - Passenger - Passenger revenue/expenditure,3.1.1.N1,3.1.1
Transport - Sea transport - Passenger - Time charter payments/receipts,3.1.1.N2,3.1.1
Transport - Sea transport - Freight - Total Freight,3.1.2,3.1
Transport - Sea transport - Freight - Dry cargo,3.1.2.N1,3.1.2
Transport - Sea transport - Freight - Dry cargo - Freight on UK imports/exports,3.1.2.N11,3.1.2.N1
Transport - Sea transport - Freight - Dry cargo - Freight on cross-trades,3.1.2.N12,3.1.2.N1
Transport - Sea transport - Freight - Dry cargo - Time charter payments/receipts,3.1.2.N13,3.1.2.N1
Transport - Sea transport - Freight - Wet cargo,3.1.2.N2,3.1.2
Transport - Sea transport - Freight - Wet cargo - Freight on UK imports/exports,3.1.2.N21,3.1.2.N2
Transport - Sea transport - Freight - Wet cargo - Freight on cross-trades,3.1.2.N22,3.1.2.N2
Transport - Sea transport - Freight - Wet cargo - Time charter payments/receipts,3.1.2.N23,3.1.2.N2
Transport - Sea transport - Freight - Freight on UK coastal routes,3.1.2.N3,3.1.2
Transport - Sea transport - Disbursements in the UK,3.1.3,3.1
Transport - Sea transport - Freight - Dry cargo,3.1.3.N1,3.1.3
Transport - Sea transport - Freight - Wet cargo,3.1.3.N2,3.1.3
Transport - Sea transport - Other - Other,3.1.3.N3,3.1.3
Transport - Sea transport - Of which: - Ships operated by non-residents,3.1RW,3.1
Transport - Sea transport - Of which: - Ships owned or chartered-in by UK residents,3.1UK,3.1
Transport - Air transport - Passenger revenue/expenditure,3.2.1,3.2
Transport - Air transport - Freight on UK exports and cross trades,3.2.2,3.2
Transport - Air transport - Other - Total other,3.2.3,3.2
Transport - Air transport - Other - Disbursements in UK export/foreign imports,3.2.3.N1,3.2.3
Transport - Air transport - Other - Other revenue,3.2.3.N2,3.2.3
Transport - Other transport - Passenger revenue/expenditure,3.3.1,3.3
Transport - Other transport - Total Freight,3.3.2,3.3
Transport - Other transport - Other,3.3.3,3.3
Transport - Other transport - Rail - Passenger,3.6.1,3.3.1
Transport - Other transport - Rail - Freight,3.6.2,3.3.2
Transport - Other transport - Rail - Total rail,3.6.3,3.3.3
Transport - Other transport - Road - Passenger,3.7.1,3.3.1
Transport - Other transport - Road - Freight,3.7.2,3.3.2
Transport - Other transport - Road - Total road,3.7.3,3.3.3
Transport - Other transport - Pipeline transport,3.9+3.10.N1,
Travel - Total business travel,4.1,4
Travel - Business - Expenditure by seasonal & border workers,4.1.1,4.1
Travel - Business - Travel business other,4.1.2,4.1
Travel - Total personal travel,4.2,4
Travel - Personal - Health related,4.2.1,4.2
Travel - Personal - Education related,4.2.2,4.2
Travel - Personal - Travel personal other,4.2.3,4.2
Construction - Construction abroad,5.1,5
Construction - Construction in the reporting economy,5.2,5
Insurance and pension services - Direct insurance,6.1,6
Insurance and pension services - Direct insurance - Life insurance,6.1.1,6.1
Insurance and pension services - Direct insurance - Freight insurance,6.1.2,6.1
