Label,Notation,Parent Notation,Sort Priority,Description
Total,t,,,
Food & live animals (0),0,,,
Meat & meat preparations (01),01,,,
Unspecified goods (9),9,,,
Oil (33),33,,,
Works of art (896),896,,,
"Food, beverages & tobacco (0and1)",0and1,,,
Basic materials (2and4),2and4,,,
Fuels (3),3,,,
Semi-manufactures (5and6),5and6,,,
Finished manufactures (7and8),7and8,,,
Fuels other than oil (3OF),3of,,,
Crude oil (33O),33o,,,
Refined oil (33R),33r,,,
Erratics (E),e,,,
Manufactures (5to8),5to8,,,
less erratics (TlessE),tlesse,,,
less oil (TlessO),tlesso,,,
less oil & erratics (TlessOE),tlessoe,,,
Precious stones (66P),66p,,,
Silver (68S),68s,,,
Jewellery (897C),897c,,,
less MTIC (TlessMTIC),tlessmtic,,,
Dairy products & eggs (02),02,,,
Cereals & animal feeding stuffs (04and08),04and08,,,
Vegetables & fruit (05),05,,,
Beverages and Tobacco (1),1,,,
Beverages (11),11,,,
Tobacco (12),12,,,
Crude Materials (2),2,,,
Wood & cork (24),24,,,
Pulp & waste paper (25),25,,,
Textile fibres (26),26,,,
Metal ores & scrap (28),28,,,
Animal and Vegetable Oils (4),4,,,
Organic chemicals (51),51,,,
Inorganic chemicals (52),52,,,
Medicinal & pharmaceutical products (54),54,,,
Plastics (57and58),57and58,,,
Material manufatures (6),6,,,
Wood & cork manufactures (63),63,,,
Paper & paperboard (64),64,,,
Textile fabrics (65),65,,,
Iron & steel (67),67,,,
Non-ferrous metals (68),68,,,
Miscellaneous metal manufactures (69),69,,,
Machinery and Transport (7),7,,,
Machinery (71to77),71to77,,,
Mechanical machinery (7M),7m,,,
Electrical machinery (7E),7e,,,
Road vehicles (78),78,,,
Other transport equipment (79),79,,,
Miscellanous manufactures (8),8,,,
Clothing & footwear (84and85),84and85,,,
Scientific & photographic (87and88),87and88,,,
"Dyeing, tanning & colouring materials (53)",53,,,
Total Trade less erratics (TTlessE),ttlesse,,,
Toilet & cleansing preparations (55),55,,,
Mineral manufactures less precious stones (66lessP),66lessp,,,
Clothing (84),84,,,
Footwear (85),85,,,
Chemicals (5),5,,,
Total Trade less Oil (TTlessO),ttlesso,,,
Trade in Services (TS),ts,,,
Total Trade (TT),tt,,,
Material manufactures less erratics (6lessPS),6lessps,,,
Cars (78M),78m,,,
Consumer goods other than cars (7and8C),7and8c,,,
Intermediate goods (7and8I),7and8i,,,
Capital goods (7and8K),7and8k,,,
Ships and Aircraft(SNA),sitc_792-793,,,
Precious stones & silver (PS),ps,,,
Ships & aircraft (792and793),792and793,,,
Total Trade less Oil and erratics (TTlessOE),ttlessoe,,,
Oil and erratics (OE),oe,,,
Precious metals (inc non monetary gold),inc-non-monetary-gold,,,
Total Trade less precious metals (inc non monetary gold) (TTlessPM),ttlesspm,,,
less precious metals (inc non monetary gold) (TlessPM),tlesspm,,,
Precious metals (inc non monetary gold) (PM),pm,,,
Live animals (00),00,,,
Fish & shellfish (03),03,,,
Cereals (04),04,,,
Sugar (06),06,,,
"Coffee, tea, cocoa etc (07)",07,,,
Animal feeding stuffs (08),08,,,
Miscellaneous foods (09),09,,,
Missing trader intra community (MTIC),mtic,,,
Other crude materials (2OCM),2ocm,,,
Fertilisers & other chemicals (56and59),56and59,,,
Leather manufactures (61),61,,,
Rubber manufactures (62),62,,,
Non-ferrous metals less silver (68lessS),68lesss,,,
Mechanical machinery (consumer) (7MC),7mc,,,
Electrical machinery (consumer) (7EC),7ec,,,
Road vehicles other than cars (consumer) (78C),78c,,,
Scientific & photographic (consumer) (87and88C),87and88c,,,
Other miscellaneous manufactures (consumer) (8OC),8oc,,,
Mechanical machinery (intermediate) (7MI),7mi,,,
Electrical machinery (intermediate) (7EI),7ei,,,
Road vehicles other than cars (intermediate) (78I),78i,,,
Road vehicles other than cars (intermediate) (791I),791i,,,
Scientific & photographic (intermediate) (87and88I),87and88i,,,
Other miscellaneous manufactures (intermediate) (8OI),8oi,,,
Mechanical machinery (capital) (7MK),7mk,,,
Electrical machinery (intermediate) (7EK),7ek,,,
Road vehicles other than cars (capital) (78K),78k,,,
Railway equipment (capital) (791K),791k,,,
Scientific & photographic (capital) (87and88K),87and88k,,,
Other miscellaneous manufactures (capital) (8OK),8ok,,,
Ships (793),793,,,
Aircraft (792),792,,,
Mechanical Machinery,sitc_71-74_less_716,,,
Electrical Machinery,sitc_716-75-76-77,,,
Organic chemicals,sitc_51,,,
Road vehicles,sitc_78,,,
