Label,Notation,Parent Notation,Sort Priority,Description
Estonia,estonia,,,
Whole World,ww,,,
Cyprus,cyprus,,,
Latvia,latvia,,,
Lithuania,lithuania,,,
Malta,malta,,,
Slovakia,slovakia,,,
Slovenia,slovenia,,,
Austria,austria,,,
Finland,finland,,,
Sweden,sweden,,,
Netherlands,netherlands,,,
Denmark,denmark,,,
Greece,greece,,,
Portugal,portugal,,,
Spain,spain,,,
Italy,italy,,,
Eu,eu,,,
Non eu,non-eu,,,
Croatia,croatia,,,
Turkey,turkey,,,
Mexico,mexico,,,
Switzerland,switzerland,,,
Iceland,iceland,,,
Norway,norway,,,
Australia,australia,,,
New zealand,new-zealand,,,
South africa,south-africa,,,
Hong kong,hong-kong,,,
Singapore,singapore,,,
Saudi arabia,saudi-arabia,,,
India,india,,,
Malaysia,malaysia,,,
Israel,israel,,,
South korea,south-korea,,,
Thailand,thailand,,,
Taiwan,taiwan,,,
Russia,russia,,,
Poland,poland,,,
Czech republic,czech-republic,,,
Brazil,brazil,,,
Indonesia,indonesia,,,
Pakistan,pakistan,,,
Philippines,philippines,,,
Ww ttlesspm,ww-ttlesspm,,,
United arab emirates,united-arab-emirates,,,
United states inc puerto rico,united-states-inc-puerto-rico,,,
Total eu 27,total-eu-27,,,
Extra eu 27,extra-eu-27,,,
Economic and Monetary Union (19),emu-19,,,
Hungary,hungary,,,
Egypt,egypt,,,
Kuwait,kuwait,,,
Eu 2004,eu-2004,,,
Non eu 2004,non-eu-2004,,,
Rwanda,rw,,,
Bulgaria,bulgaria,,,
Romania,romania,,,
