Label,Notation,Parent Notation,Sort Priority,Description
Food & live animals,0,0plus1,,
"Food, beverages & tobacco",0+1,T,,
Live animals,00,0,,
Meat & meat preparations,01,0,,
Unmilled cereals,01.1A,04,,
Fresh or chilled vegetables & vegetable products,01.1B,05,,
Straw & forage,01.1C,08,,
Raw tobacco,01.1D,12,,
Oil seeds,01.1E,22,,
Fibre crops,01.1F,26,,
"Cut flowers, seeds",01.1G,29,,
"Fruits, nuts & berries",01.2A,05,,
Beverage crops & raw spices,01.2B,07,,
Oleaginous fruits,01.2C,22,,
Natural rubber,01.2D,23,,
Other perennial crops,01.2E,29,,
Planting material,01.3,29,,
Live animals,01.4A,00,,
Snails,01.4B,01,,
Eggs in shell,01.4C,02,,
Honey,01.4D,06,,
Other edible products of animal origin,01.4E,09,,
Hides & skins of other animals,01.4F,21,,
Shorn greasy wool & other animal hair,01.4G,26,,
Bovine semen,01.4H,29,,
Beeswax,01.4I,43,,
Dairy products & eggs,02,0,,
Trees & their seeds,02.1,29,,
Wood in the rough,02.2,24,,
Natural gums,02.3A,23,,
Raw cork,02.3B,24,,
Other wild growing products,02.3C,29,,
Fish & shellfish,03,0,,
Live marine mammals,03.0A,00,,
Fresh or chilled fish & shellfish,03.0B,03,,
Other aquatic plant & animal products,03.0C,29,,
Unworked pearls,03.0D,66P,,
Cereals,04,04plus08,,
Cereals & animal feeding stuffs,04+08,T,,
Cereals & animal feeding stuffs,04plus08,0,,
Cereals & animal feeding stuffs,04and08,0,,
Vegetables & fruit,05,0,,
Coal,05.1,32,,
Lignite,05.2,32,,
Sugar,06,0,,
Bituminous or oil shale & tar sands,06.1A,27,,
Crude petroleum oils,06.1B,33O,,
Natural gas,06.2,34,,
"Coffee, tea, cocoa etc",07,0,,
Iron ores,07.1,28,,
Non-ferrous metal ores & concentrates,07.2,28,,
Animal feeding stuffs,08,04plus08,,
"Unworked stone, gravel, sand, clays & kaolin",08.1,27,,
Other minerals,08.9A,27,,
Peat,08.9B,32,,
Unworked precious stones,08.9C,66P,,
Miscellaneous foods,09,0,,
"Food, beverages & tobacco",0plus1,T,,
"Food, beverages & tobacco",0plus1,T14,,
"Food, beverages & tobacco",0plus1,TminusC,,
"Food, beverages & tobacco",0plus1,TminusE,,
"Food, beverages & tobacco",0plus1,TminusO,,
"Food, beverages & tobacco",0and1,T,,
"Food, beverages & tobacco",0plus1,TminusOE,,
Beverages & tobacco,1,0plus1,,
"Fresh, chilled or frozen meat, meat products for human consumption",10.1A,01,,
Meat meal for animals,10.1B,08,,
"Hides & skins of cows, goats & sheep",10.1C,21,,
Pulled greasy wool,10.1D,26,,
"Inedible offal, unworked bird skins & feathers",10.1E,29,,
Crude animal fats,10.1F,41,,
Worked bird skins & feathers,10.1G,89I,,
Processed & preserved fish & shellfish,10.2A,03,,
Fish meal for animals,10.2B,08,,
Inedible products of fish & shellfish,10.2C,29,,
"Processed & preserved fruit & vegetable, fruit & vegetable juices",10.3A,05,,
Vegetable waste,10.3B,08,,
Oilcake,10.4A,08,,
Margarine & similiar edible fats,10.4B,09,,
Flours & meals of oils seeds & fruits,10.4C,22,,
Cotton linters,10.4D,26,,
Processed animal oils & fats,10.4E,41,,
Vegetable oils,10.4F,42,,
Hydrogenated fats & oils and vegetable juices,10.4G,43,,
"Milk, butter, cheese, yoghurt, ice cream etc",10.5A,02,,
Lactose,10.5B,06,,
Casein,10.5C,59,,
Processed cereals,10.6A,04,,
"Vegetable flour & meal, tapioca",10.6B,05,,
"Glucose, fructose etc",10.6C,06,,
"Bran, residues of starch manufacture",10.6D,08,,
Maize oil,10.6E,42,,
Starches,10.6F,59,,
"Bread, cakes, biscuits & pasta",10.7A,04,,
Couscous,10.7B,09,,
Meat extracts & juices,10.8A,01,,
Processed eggs,10.8B,02,,
Sugar & sugar confectionery,10.8C,06,,
"Processed tea, coffee, cocoa, chocolate & spices",10.8D,07,,
Residues of sugar manufactures,10.8E,08,,
Food products n.e.s,10.8F,09,,
Food-grade salt,10.8G,27,,
Vegetable extracts,10.8H,29,,
Prepared feeds for farm animals & pets,10.9,08,,
Beverages,11,1,,
Distilled alcoholic beverages,11.01,11,,
Wine lees,11.02A,08,,
Wine,11.02B,11,,
Cider & other fruit wines,11.03,11,,
Other non-distilled fermented beverages,11.04,11,,
Brewing dregs,11.05A,08,,
Beer,11.05B,11,,
Malt,11.06,04,,
Soft drinks & bottled wines,11.07,11,,
Tobacco,12,1,,
Tobacco products,12.0,12,,
Processed textile fibres,13.1A,26,,
Wool grease,13.1B,41,,
Textile yarn,13.1C,65,,
Woven textiles,13.2,65,,
Rags & worn out textiles,13.9A,26,,
Textile articles n.e.s,13.9B,65,,
"Cushions, pillows, quilts etc",13.9C,82C,,
Imitation fur,13.9D,84,,
Powder puffs,13.9E,89OC,,
Parachutes,13.9F,89I,,
Worn clothing,14.1A,26,,
Hat shapes & forms,14.1B,65,,
Clothes & clothing accessories,14.1C,84,,
Articles of fur,14.2,84,,
Knitted & crotcheted hosiery & cardigans,14.3,84,,
Leather & leather articles n.e.s,15.1A,61,,
