Label,Notation,Parent Notation,Sort Priority,Description
NUTS 1,nuts1/all,nuts1/all,1,
East,nuts1/UKH,nuts1/all,2,
East Midlands,nuts1/UKF,nuts1/all,3,
London,nuts1/UKI,nuts1/all,4,
North East,nuts1/UKC,nuts1/all,5,
North West,nuts1/UKD,nuts1/all,6,
Northern Ireland,nuts1/UKN,nuts1/all,7,
Scotland,nuts1/UKM,nuts1/all,8,
South East,nuts1/UKJ,nuts1/all,9,
South West,nuts1/UKK,nuts1/all,10,
Unallocated-Known,nuts1/UNK,nuts1/all,11,
Unallocated-Unknown,nuts1/UNU,nuts1/all,12,
Wales,nuts1/UKL,nuts1/all,13,
West Midlands,nuts1/UKG,nuts1/all,14,
Yorkshire and the Humber,nuts1/UKE,nuts1/all,15,
Nuts 2,nuts2/all,nuts2/all,16,
Bedfordshire and Hertfordshire,nuts2/UKH2,nuts2/all,17,
"Berkshire, Buckinghamshire and Oxfordshire",nuts2/UKJ1,nuts2/all,18,
Cheshire,nuts2/UKD6,nuts2/all,19,
Cornwall and Isles of Scilly,nuts2/UKK3,nuts2/all,20,
Cumbria,nuts2/UKD1,nuts2/all,21,
Derbyshire and Nottinghamshire,nuts2/UKF1,nuts2/all,22,
Devon,nuts2/UKK4,nuts2/all,23,
Dorset and Somerset,nuts2/UKK2,nuts2/all,24,
EA BTTA,nuts2/ea-btta,nuts2/all,25,
EA Energy,nuts2/ea-energy,nuts2/all,26,
EA Other,nuts2/ea-other,nuts2/all,27,
East Anglia,nuts2/UKH1,nuts2/all,28,
East Wales,nuts2/UKL2,nuts2/all,29,
East Yorkshire and Northern Lincolnshire,nuts2/UKE1,nuts2/all,30,
Eastern Scotland,nuts2/UKM7,nuts2/all,31,
EM BTTA,nuts2/em-btta,nuts2/all,32,
EM Energy,nuts2/em-energy,nuts2/all,33,
EM Other,nuts2/em-other,nuts2/all,34,
Essex,nuts2/UKH3,nuts2/all,35,
"Gloucestershire, Wiltshire and Bath/Bristol area",nuts2/UKK1,nuts2/all,36,
Greater Manchester,nuts2/UKD3,nuts2/all,37,
Hampshire and Isle of Wight,nuts2/UKJ3,nuts2/all,38,
"Herefordshire, Worcestershire and Warwickshire",nuts2/UKG1,nuts2/all,39,
Highlands and Islands,nuts2/UKM6,nuts2/all,40,
Inner London - East,nuts2/UKI4,nuts2/all,41,
Inner London - West,nuts2/UKI3,nuts2/all,42,
Kent,nuts2/UKJ4,nuts2/all,43,
Lancashire,nuts2/UKD4,nuts2/all,44,
"Leicestershire, Rutland and Northamptonshire",nuts2/UKF2,nuts2/all,45,
Lincolnshire,nuts2/UKF3,nuts2/all,46,
LO BTTA,nuts2/lo-btta,nuts2/all,47,
LO Other,nuts2/lo-other,nuts2/all,48,
Merseyside,nuts2/UKD7,nuts2/all,49,
NE BTTA,nuts2/ne-btta,nuts2/all,50,
NE Energy,nuts2/ne-energy,nuts2/all,51,
NE Other,nuts2/ne-other,nuts2/all,52,
North Eastern Scotland,nuts2/UKM5,nuts2/all,53,
North Yorkshire,nuts2/UKE2,nuts2/all,54,
Northern Ireland,nuts2/UKN0,nuts2/all,55,
Northumberland and Tyne and Wear,nuts2/UKC2,nuts2/all,56,
NW BTTA,nuts2/nw-btta,nuts2/all,57,
NW Energy,nuts2/nw-energy,nuts2/all,58,
NW Other,nuts2/nw-other,nuts2/all,59,
Outer London - East and North East,nuts2/UKI5,nuts2/all,60,
Outer London - South,nuts2/UKI6,nuts2/all,61,
Outer London - West and North West,nuts2/UKI7,nuts2/all,62,
SC BTTA,nuts2/sc-btta,nuts2/all,63,
SC Energy,nuts2/sc-energy,nuts2/all,64,
SC Other,nuts2/sc-other,nuts2/all,65,
SE BTTA,nuts2/se-btta,nuts2/all,66,
SE Energy,nuts2/se-energy,nuts2/all,67,
SE Other,nuts2/se-other,nuts2/all,68,
Shropshire and Staffordshire,nuts2/UKG2,nuts2/all,69,
South Yorkshire,nuts2/UKE3,nuts2/all,70,
Southern Scotland,nuts2/UKM9,nuts2/all,71,
"Surrey, East and West Sussex",nuts2/UKJ2,nuts2/all,72,
SW BTTA,nuts2/sw-btta,nuts2/all,73,
SW Other,nuts2/sw-other,nuts2/all,74,
Tees Valley and Durham,nuts2/UKC1,nuts2/all,75,
WA BTTA,nuts2/wa-btta,nuts2/all,76,
WA Energy,nuts2/wa-energy,nuts2/all,77,
WA Other,nuts2/wa-other,nuts2/all,78,
West Central Scotland,nuts2/UKM8,nuts2/all,79,
West Midlands,nuts2/UKG3,nuts2/all,80,
West Wales and The Valleys,nuts2/UKL1,nuts2/all,81,
West Yorkshire,nuts2/UKE4,nuts2/all,82,
WM BTTA,nuts2/wm-btta,nuts2/all,83,
WM Other,nuts2/wm-other,nuts2/all,84,
YH BTTA,nuts2/yh-btta,nuts2/all,85,
YH Energy,nuts2/yh-energy,nuts2/all,86,
YH Other,nuts2/yh-other,nuts2/all,87,
