Label,Notation,Parent Notation,Sort Priority,Description
Total,A_T,,,
"Agriculture, Foresty and fishing",A,A_T,,
Total production industries,B_E,A_T,,
Mining & quarrying,B,A_T,,
Manufacturing,C,A_T,"",""
"Electricity, gas, steam and air",D,A_T,"",
"Water supply, sewerage ",E,A_T,"",
Construction,F,A_T,"",
Total service industries,G_T,A_T,"",
Wholesale and retail: repair of motor vehicles and motorcycles,G,A_T,"",
Transport and storage,H,A_T,"",
Accommodation and food service activities,I,A_T,"",
Information and Communication,J,A_T,"",
Financial and insurance activities,K,A_T,"",
Real estate activities,L,A_T,"",
Professional scientific and technical activities,M,A_T,"",
Administrative and support service activities,N,A_T,"",
Public administration and defence,O,A_T,"",
Education,P,A_T,"",
Human health and social work activities,Q,A_T,"",
"Arts, entertainment and recreation",R,A_T,"",
Other service activities,S,A_T,"",
"Activities of households as employers, undifferentiated goods and services",T,A_T,"",
