Label,Notation,Parent Notation,Sort Priority,Description
Arts entertainment & recreation,arts-entertainment-recreation,,1,
Electricity gas steam & air conditioning,electricity-gas-steam-air-conditioning,,2,
Information & communication services,information-communication-services,,3,
Manufactured products,manufactured-products,,4,
Mining & quarrying,mining-quarrying,,5,
Other services,other-services,,6,
Products of agriculture forestry & fishing,products-of-agriculture-forestry-fishing,,7,
Professional scientific & technical services,professional-scientific-technical-services,,8,
Total EU Exports,total-eu-exports,,9,
Total EU Imports,total-eu-imports,,10,
Total Exports,total-exports,,11,
Total Imports,total-imports,,12,
Total Non EU Exports,total-non-eu-exports,,13,
Total Non-EU Imports,total-non-eu-imports,,14,
Water supply sewerage & waste management,water-supply-sewerage-waste-management,15,
