Label,Notation,Parent Notation,Sort Priority,Description
All,all,,1,
"Agricultural and Mining Services-Agricultural, forestry and fishing",agricultural-and-mining-services-agricultural-forestry-and-fishing,agricultural-and-mining-services,2,
Agricultural and Mining Services-Mining and oil and gas extraction services,agricultural-and-mining-services-mining-and-oil-and-gas-extraction-services,agricultural-and-mining-services,3,
Agricultural and Mining Services,agricultural-and-mining-services,all,4,
"Agricultural, Mining and On-site Processing Services -Agricultural",agricultural-mining-and-on-site-processing-services-agricultural,agricultural-mining-and-on-site-processing-services,5,
"Agricultural, Mining and On-site Processing Services -Mining",agricultural-mining-and-on-site-processing-services-mining,agricultural-mining-and-on-site-processing-services,6,
"Agricultural, Mining and On-site Processing Services -Other on-site processing services",agricultural-mining-and-on-site-processing-services-other-on-site-processing-services,agricultural-mining-and-on-site-processing-services,7,
"Agricultural, Mining and On-site Processing Services",agricultural-mining-and-on-site-processing-services,all,8,
"Agricultural, Mining and On-site Processing Services -Waste treatment and depollution",agricultural-mining-and-on-site-processing-services-waste-treatment-and-depollution,agricultural-mining-and-on-site-processing-services,9,
"Business and Professional Services-Accountancy, auditing, bookkeeping and tax consulting services",business-and-professional-services-accountancy-auditing-bookkeeping-and-tax-consulting-services,business-and-professional-services,10,
Business and Professional Services-Advertising,business-and-professional-services-advertising,business-and-professional-services,11,
"Business and Professional Services-Advertising, market research and public opinion polling services",business-and-professional-services-advertising-market-research-and-public-opinion-polling-services,business-and-professional-services,12,
Business and Professional Services-Business management and management consulting services,business-and-professional-services-business-management-and-management-consulting-services,business-and-professional-services,13,
Business and Professional Services-Legal services,business-and-professional-services-legal-services,business-and-professional-services,14,
Business and Professional Services-Management consulting,business-and-professional-services-management-consulting,business-and-professional-services,15,
Business and Professional Services-Market research and public opinion polling,business-and-professional-services-market-research-and-public-opinion-polling,business-and-professional-services,16,
Business and Professional Services-Operating leasing services,business-and-professional-services-operating-leasing-services,business-and-professional-services,17,
Business and Professional Services-Operational leasing services,business-and-professional-services-operational-leasing-services,business-and-professional-services,18,
Business and Professional Services-Other business and professional services,business-and-professional-services-other-business-and-professional-services,business-and-professional-services,19,
Business and Professional Services-Other business management,business-and-professional-services-other-business-management,business-and-professional-services,20,
Business and Professional Services-Procurement,business-and-professional-services-procurement,business-and-professional-services,21,
Business and Professional Services-Procurement services,business-and-professional-services-procurement-services,business-and-professional-services,22,
Business and Professional Services-Property management,business-and-professional-services-property-management,business-and-professional-services,23,
Business and Professional Services-Property management services,business-and-professional-services-property-management-services,business-and-professional-services,24,
Business and Professional Services-Public relations services,business-and-professional-services-public-relations-services,business-and-professional-services,25,
Business and Professional Services-Recruitment ,business-and-professional-services-recruitment,business-and-professional-services,26,
Business and Professional Services-Recruitment services,business-and-professional-services-recruitment-services,business-and-professional-services,27,
Business and Professional Services-Research and development,business-and-professional-services-research-and-development,business-and-professional-services,28,
Business and Professional Services-Services between related enterprises,business-and-professional-services-services-between-related-enterprises,business-and-professional-services,29,
Business and Professional Services,business-and-professional-services,all,30,
"Communication, computer and Information Services-Computers",communication-computer-and-information-services-computers,communication-computer-and-information-services,31,
"Communication, computer and Information Services-News agency services",communication-computer-and-information-services-news-agency-services,communication-computer-and-information-services,32,
"Communication, computer and Information Services-Other information provision services",communication-computer-and-information-services-other-information-provision-services,communication-computer-and-information-services,33,
"Communication, computer and Information Services-Postal and courier",communication-computer-and-information-services-postal-and-courier,communication-computer-and-information-services,34,
"Communication, computer and Information Services-Publishing services",communication-computer-and-information-services-publishing-services,communication-computer-and-information-services,35,
"Communication, computer and Information Services-Telecommunications",communication-computer-and-information-services-telecommunications,communication-computer-and-information-services,36,
"Communication, computer and Information Services",communication-computer-and-information-services,all,37,
Communications and Computer Information Services-Computers,communications-and-computer-information-services-computers,communcations-and-computer-information-services,38,
Communications and Computer Information Services-News agency services,communications-and-computer-information-services-news-agency-services,communcations-and-computer-information-services,39,
Communications and Computer Information Services-Other information provision services,communications-and-computer-information-services-other-information-provision-services,communcations-and-computer-information-services,40,
Communications and Computer Information Services-Postal and courier,communications-and-computer-information-services-postal-and-courier,communcations-and-computer-information-services,41,
Communications and Computer Information Services-Publishing services,communications-and-computer-information-services-publishing-services,communcations-and-computer-information-services,42,
Communications and Computer Information Services-Telecommunications,communications-and-computer-information-services-telecommunications,communcations-and-computer-information-services,43,
Communications and Computer Information Services-Total,communcations-and-computer-information-services,all,44,
Communications Services-Postal and courier,communications-services-postal-and-courier,communications-services,45,
Communications Services-Telecommunications,communications-services-telecommunications,communications-services,46,
Communications Services,communications-services,all,47,
Computer and Information Services-Computers,computer-and-information-services-computers,computer-and-information-services,48,
Computer and Information Services-News agency services,computer-and-information-services-news-agency-services,computer-and-information-services,49,
Computer and Information Services-Other information provision services,computer-and-information-services-other-information-provision-services,computer-and-information-services,50,
Computer and Information Services-Publishing services,computer-and-information-services-publishing-services,computer-and-information-services,51,
Computer and Information Services,computer-and-information-services,all,52,
Construction Services-Construction in the UK,construction-services-construction-in-the-uk,construction-services,53,
Construction Services-Construction outside the UK,construction-services-construction-outside-the-uk,construction-services,54,
Construction Services,construction-services,all,55,
Financial and Insurance Activities,financial-and-insurance-activities,all,56,
Financial Services-Financial,financial-services-financial,all,57,
Information and Communication Services,information-and-communication-services,all,58,
Insurance and Pension Services,insurance-and-pension-services,all,59,
Insurance and Pension Services-Insurance and Pension Services Claims,insurance-and-pension-services-insurance-and-pension-services-claims,insurance-and-pension-services,60,
Insurance and Pension Services-Insurance and Pension Services Premiums,insurance-and-pension-services-insurance-and-pension-services-premiums,insurance-and-pension-services,61,
Insurance Services,insurance-services,all,62,
Insurance Services-Insurance Claims,insurance-services-insurance-claims,insurance-services,63,
Insurance Services-Insurance Premiums,insurance-services-insurance-premiums,insurance-services,64,
Intellectual Property-Charges or payments for the use of ,intellectual-property-charges-or-payments-for-the-use-of,intellectual-property,65,
"Intellectual Property-Copyrighted literary works, sound recordings, films, television prgrammes and databases-Charges or payments for the use of",copyrighted-literary-works-sound-recordings-films-television-prgrammes-and-databases-charges-or-payments-for-the-use-of,intellectual-property,66,
"Intellectual Property-Copyrighted literary works, sound recordings, films, television prgrammes and databases-Outright sales and purchases ",copyrighted-literary-works-sound-recordings-films-television-prgrammes-and-databases-outright-sales-and-purchases,intellectual-property,67,
Intellectual Property-Outright sales and purchases ,intellectual-property-outright-sales-and-purchases,intellectual-property,68,
Intellectual Property-Patents and other intellectual property that are the end result of research and development-Charges or payments for the use of,patents-and-other-intellectual-property-that-are-the-end-result-of-research-and-development-charges-or-payments-for-the-use-of,intellectual-property,69,
Intellectual Property-Patents and other intellectual property that are the end result of research and development-Outright sales and purchases,patents-and-other-intellectual-property-that-are-the-end-result-of-research-and-development-outright-sales-and-purchases,intellectual-property,70,
Intellectual Property,intellectual-property,all,71,
"Intellectual Property-Trade marks, franchises, brands or design rights-Charges or payments for the use of",trade-marks-franchises-brands-or-design-rights-charges-or-payments-for-the-use-of,intellectual-property,72,
"Intellectual Property-Trade marks, franchises, brands or design rights-Outright sales and purchases",trade-marks-franchises-brands-or-design-rights-outright-sales-and-purchases,intellectual-property,73,
Manufacturing Services,manufacturing-services,all,74,
"Manufacturing, Maintenance and On-site Processing Services-Maintenance and repair services",manufacturing-maintenance-and-on-site-processing-services-maintenance-and-repair-services,manufacturing-maintenance-and-on-site-processing-services,75,
"Manufacturing, Maintenance and On-site Processing Services-Manufacturing services on goods owned by others",manufacturing-maintenance-and-on-site-processing-services-manufacturing-services-on-goods-owned-by-others,manufacturing-maintenance-and-on-site-processing-services,76,
"Manufacturing, Maintenance and On-site Processing Services",manufacturing-maintenance-and-on-site-processing-services,all,77,
"Manufacturing, Maintenance and On-site Processing Services-Waste treatment and depolution services",manufacturing-maintenance-and-on-site-processing-services-waste-treatment-and-depolution-services,manufacturing-maintenance-and-on-site-processing-services,78,
Merchanting and Other Trade related Services-Merchanting,merchanting-and-other-trade-related-services-merchanting,merchanting-and-other-trade-related-services,79,
Merchanting and Other Trade related Services-Other trade related services,merchanting-and-other-trade-related-services-other-trade-related-services,merchanting-and-other-trade-related-services,80,
Merchanting and Other Trade related Services,merchanting-and-other-trade-related-services,all,81,
"Merchanting, Other Trade-related and Services",merchanting-other-trade-related-and-services-between-related-enterprises,merchanting-and-other-trade-related-services,82,
Other Trade  in Services-Other trade in services,other-trade-in-services-other-trade-in-services,all,83,
"Personal, Cultural and Recreational  Services-Audio- Visual and related services ",personal-cultural-and-recreational-services-audio-visual-and-related-services,personal-cultural-and-recreational-services,84,
"Personal, Cultural and Recreational  Services-Health Services",personal-cultural-and-recreational-services-health-services,personal-cultural-and-recreational-services,85,
"Personal, Cultural and Recreational  Services-Heritage and recreational services",personal-cultural-and-recreational-services-heritage-and-recreational-services,personal-cultural-and-recreational-services,86,
"Personal, Cultural and Recreational  Services-Medical Services",personal-cultural-and-recreational-services-medical-services,personal-cultural-and-recreational-services,87,
"Personal, Cultural and Recreational  Services-Other personal, cultural and recreational services",personal-cultural-and-recreational-services-other-personal-cultural-and-recreational-services,personal-cultural-and-recreational-services,88,
"Personal, Cultural and Recreational  Services-Social, domestic and other personal services",personal-cultural-and-recreational-services-social-domestic-and-other-personal-services,personal-cultural-and-recreational-services,89,
"Personal, Cultural and Recreational  Services",personal-cultural-and-recreational-services,all,90,
"Personal, Cultural and Recreational  Services-Training and educational services",personal-cultural-and-recreational-services-training-and-educational-services,personal-cultural-and-recreational-services,91,
"Professional, management consulting and R&D services",professional-management-consulting-r-d-services,all,92,
Research and Development Services-Provision of product development and testing activities,research-and-development-services-provision-of-product-development-and-testing-activities,research-and-development-services,93,
Research and Development Services-Provision of R&D services,research-and-development-services-provision-of-r-d-services,research-and-development-services,94,
Research and Development Services,research-and-development-services,all,95,
Royalties and Licenses-Other royalties and license fees,royalties-and-licenses-other-royalties-and-license-fees,royalties-and-licenses,96,
Royalties and Licenses-Purchases and sales of franchises and similar rights,royalties-and-licenses-purchases-and-sales-of-franchises-and-similar-rights,royalties-and-licenses,97,
Royalties and Licenses-Purchases and sales of other royalties and licenses,royalties-and-licenses-purchases-and-sales-of-other-royalties-and-licenses,royalties-and-licenses,98,
Royalties and Licenses,royalties-and-licenses,all,99,
Royalties and Licenses-Use of franchise and similar rights fees,royalties-and-licenses-use-of-franchise-and-similar-rights-fees,royalties-and-licenses,100,
Technical and Scientific Services-Architectural services,technical-and-scientific-services-architectural-services,technical-and-scientific-services,101,
Technical and Scientific Services-Engineering Services,technical-and-scientific-services-engineering-services,technical-and-scientific-services,102,
Technical and Scientific Services-Other trade in services,technical-and-scientific-services-other-trade-in-services,technical-and-scientific-services,103,
Technical and Scientific Services-Scientific and other techinical services inc surveying,technical-and-scientific-services-scientific-and-other-technical-services-inc-surveying,technical-and-scientific-services,104,
Technical and Scientific Services,technical-and-scientific-services,all,105,
Technical services,technical-services,all,106,
Technical services-Architectural,technical-services-architectural,technical-services,107,
Technical services-Engineering,technical-services-engineering,technical-services,108,
Technical services-Other technical services,technical-services-other-technical-services,technical-services,109,
Technical services-Surveying,technical-services-surveying,technical-services,110,
"Technical, trade-related, operational leasing and other business services",technical-trade-related-operational-leasing-other-business-services,all,111,
"Telecommunication, Computer and Information Services-Computer Services",telecommunication-computer-and-information-services-computer-services,telecommunication-computer-and-information-services,112,
"Telecommunication, Computer and Information Services-Information Services",telecommunication-computer-and-information-services-information-services,telecommunication-computer-and-information-services,113,
"Telecommunication, Computer and Information Services-News agency Services",telecommunication-computer-and-information-services-news-agency-services,telecommunication-computer-and-information-services,114,
"Telecommunication, Computer and Information Services-Postal and courier",telecommunication-computer-and-information-services-postal-and-courier,telecommunication-computer-and-information-services,115,
"Telecommunication, Computer and Information Services-Publishing Services",telecommunication-computer-and-information-services-publishing-services,telecommunication-computer-and-information-services,116,
"Telecommunication, Computer and Information Services-Telecommunications",telecommunication-computer-and-information-services-telecommunications,telecommunication-computer-and-information-services,117,
"Telecommunication, Computer and Information Services",telecommunication-computer-and-information-services,all,118,
Total International Trade in Services,total-international-trade-in-services,all,119,
"Total International Trade in Services (excluding travel, transport and banking) ",total-international-trade-in-services-excluding-travel-transport-and-banking,all,120,
Copyrighted Literary Works Sound Recordings Films Television Programmes and Databases Outright Sales and Purchases,copyrighted-literary-works-sound-recordings-films-television-programmes-and-databases-outright-sales-and-purchases,all,121,
Copyrighted Literary Works Sound Recordings Films Television Programmes and Databases Charges or Payments for the use of,copyrighted-literary-works-sound-recordings-films-television-programmes-and-databases-charges-or-payments-for-the-use-of,all,122,
