Label,Notation,Parent Notation,Sort Priority
ITL1,itl1/all,,
North East,itl1/tlc,,
North West,itl1/tld,,
Yorkshire and The Humber,itl1/tle,,
East Midlands,itl1/tlf,,
West Midlands,itl1/tlg,,
East,itl1/tlh,,
London,itl1/tli,,
South East,itl1/tlj,,
South West,itl1/tlk,,
Wales,itl1/tll,,
Scotland,itl1/tlm,,
Northern Ireland,itl1/tln,,
ITL2,itl2/all,,
Tees Valley and Durham,itl2/TLC1,,
"Northumberland, and Tyne and Wear",itl2/TLC2,,
Cumbria,itl2/TLD1,,
Greater Manchester,itl2/TLD3,,
Lancashire,itl2/TLD4,,
Cheshire,itl2/TLD6,,
Merseyside,itl2/TLD7,,
East Yorkshire and Northern Lincolnshire,itl2/tle1,,
North Yorkshire,itl2/tle2,,
South Yorkshire,itl2/tle3,,
West Yorkshire,itl2/tle4,,
Derbyshire and Nottinghamshire,itl2/tlf1,,
"Leicestershire, Rutland and Northamptonshire",itl2/tlf2,,
Lincolnshire,itl2/tlf3,,
"Herefordshire, Worcestershire and Warwickshire",itl2/tlg1,,
Shropshire and Staffordshire,itl2/tlg2,,
West Midlands,itl2/tlg3,,
East Anglia,itl2/tlh1,,
Bedfordshire and Hertfordshire,itl2/tlh2,,
Essex,itl2/tlh3,,
Inner London — West,itl2/tli3,,
Inner London — East,itl2/tli4,,
Outer London — East and North East,itl2/tli5,,
Outer London — South,itl2/tli6,,
Outer London — West and North West,itl2/tli7,,
"Berkshire, Buckinghamshire and Oxfordshire",itl2/tlj1,,
"Surrey, East and West Sussex",itl2/tlj2,,
Hampshire and Isle of Wight,itl2/tlj3,,
Kent,itl2/tlj4,,
"Gloucestershire, Wiltshire and Bristol/Bath area",itl2/tlk1,,
Dorset and Somerset,itl2/tlk2,,
Cornwall and Isles of Scilly,itl2/tlk3,,
Devon,itl2/tlk4,,
West Wales and The Valleys,itl2/tll1,,
East Wales,itl2/tll2,,
North Eastern Scotland,itl2/tlm5,,
Highlands and Islands,itl2/tlm6,,
Eastern Scotland,itl2/tlm7,,
West Central Scotland,itl2/tlm8,,
Southern Scotland,itl2/tlm9,,
Northern Ireland,itl2/tln0,,
Hartlepool and Stockton-on-Tees,itl3/tlc11,,
South Teesside,itl3/tlc12,,
Darlington,itl3/tlc13,,
Durham,itl3/tlc14,,
Northumberland,itl3/tlc21,,
Tyneside,itl3/tlc22,,
Sunderland,itl3/tlc23,,
West Cumbria,itl3/tld11,,
East Cumbria,itl3/tld12,,
Manchester,itl3/tld33,,
Greater Manchester South West,itl3/tld34,,
Greater Manchester South East,itl3/tld35,,
Greater Manchester North West,itl3/tld36,,
Greater Manchester North East,itl3/tld37,,
Blackburn with Darwen,itl3/tld41,,
Blackpool,itl3/tld42,,
Lancaster and Wyre,itl3/tld44,,
Mid Lancashire,itl3/tld45,,
East Lancashire,itl3/tld46,,
Chorley and West Lancashire,itl3/tld47,,
Warrington,itl3/tld61,,
Cheshire East,itl3/tld62,,
Cheshire West and Chester,itl3/tld63,,
East Merseyside,itl3/tld71,,
Liverpool,itl3/tld72,,
