Label,Notation,Parent Notation,Sort Priority,Description
total,total,,,
general government,general-government,,,
business investment,business-investment,,,
Public corporations  dwellings,public-corporations-dwellings,,,
Public corporations  costs of transfer of ownership of non-produced assets,public-corporations-costs-of-transfer-of-ownership-of-non-produced-assets,,,
Private sector dwellings,private-sector-dwellings,,,
Private sector costs of transfer of ownership of non-produced assets,private-sector-costs-of-transfer-of-ownership-of-non-produced-assets,,,
transport equipment,transport-equipment,,,
ict equipment and other machinery and equipment,ict-equipment-and-other-machinery-and-equipment,,,
dwellings,dwellings,,,
other buildings and structures,other-buildings-and-structures,,,
intellectual property products,intellectual-property-products,,,
