Label,Notation,Parent Notation,Sort Priority,Description
Current price,current-price,,,
Chained Volume Measure,chained-volume-measure,,,series of GDP stats adjusted for inflation to give a real measure of GDP
Deflator,deflator,,,
People,people,,,
Final Consumption Expenditure,final-consumption-expenditure,,,
Gross Capital Formation,gross-capital-formation,,,
Not Specified,not-specified,,,
Not Applicable,not-applicable,,,
Compensation of Employees,compensation-of-employees,,,
Gross Operating Surplus of Corporations,gross-operating-surplus-of-corporations,,,
Gross Domestic Product,gross-domestic-product,,,
