Label,Notation,Parent Notation,Sort Priority,Description
Total,total,,,
Net tourism,net-tourism,,,
Domestic total,domestic-total,,,
Food & drink,food-drink,,,
"Alcohol &
tobacco",alcohol-tobacco,,,
Clothing & footwear,clothing-footwear,,,
Housing,housing,,,
Household goods & services,household-goods-services,,,
Health,health,,,
Transport,transport,,,
Communication,communication,,,
Recreation & culture,recreation-culture,,,
Education,education,,,
Restaurants & hotels,restaurants-hotels,,,
Miscellaneous,miscellaneous,,,
total goods,total-goods,,,
Durable goods,durable-goods,,,
Semi-durable goods,semi-durable-goods,,,
"Non-durable
goods",non-durable-goods,,,
Services,services,,,
