Label,Notation,Parent Notation,Sort Priority,Description
Changes in inventories,changes-in-inventories,,,
Mining and quarrying,mining-and-quarrying,,,
Manufacturing - Materials and fuel,manufacturing-materials-and-fuel,,,
Manufacturing - Work in progress,manufacturing-work-in-progress,,,
Manufacturing - Finished goods,manufacturing-finished-goods,,,
Manufacturing - Total,manufacturing-total,,,
"Electricity, gas and water supply",electricity-gas-and-water-supply,,,
Distributive trades - Wholesale,distributive-trades-wholesale,,,Wholesaling and retailing estimates exclude the motor trades.
Distributive trades - Retail,distributive-trades-retail,,,Wholesaling and retailing estimates exclude the motor trades.
Other industries,other-industries,,,Quarterly alignment adjustment included in this series.
