Label,Notation,Parent Notation,Sort Priority,Description
All,all,,1,
Architectural engineering testing & analysis services,architectural-engineering-testing-analysis-services,,2,
Basic metals,basic-metals,,3,
Beverages,beverages,,4,
Chemicals & chemical products,chemicals-chemical-products,,5,
Coal & lignite,coal-lignite,,6,
Coke & refined petroleum product,coke-refined-petroleum-product,,7,
Computer electronic & optical products,computer-electronic-optical-products,,8,
Creative arts & entertainment services,creative-arts-entertainment-services,,9,
Crude petroleum & natural gas,crude-petroleum-natural-gas,,10,
Electrical equipment,electrical-equipment,,11,
Electricity gas steam & air conditioning,electricity-gas-steam-air-conditioning,,12,
Fabricated metal products,fabricated-metal-products,,13,
Films & recordings,films-recordings,,14,
Fish & other fishing products aquaculture products,fish-other-fishing-products-aquaculture-products,,15,
Food products,food-products,,16,
Forestry products,forestry-products,,17,
Furniture,furniture,,18,
Leather & related products,leather-related-products,,19,
Library archive museum & other cultural services,library-archive-museum-other-cultural-services,,20,
Machinery & equipment n.e.c.,machinery-equipment-n-e-c,,21,
Metal ores,metal-ores,,22,
Motor vehicles trailers & semi-trailers,motor-vehicles-trailers-semi-trailers,,23,
Other manufactured goods,other-manufactured-goods,,24,
Other mining & quarrying product,other-mining-quarrying-product,,25,
Other non-metallic mineral products,other-non-metallic-mineral-products,,26,
Other personal services,other-personal-services,,27,
Other professional scientific & technical services,other-professional-scientific-technical-services,,28,
Other transport equipment,other-transport-equipment,,29,
Paper & paper products,paper-paper-products,,30,
Pharmaceutical products & preparations,pharmaceutical-products-preparations,,31,
Printing & recording services,printing-recording-services,,32,
Products of agriculture,products-of-agriculture,,33,
Publishing,publishing,,34,
Rubber & plastic products,rubber-plastic-products,,35,
Sewerage,sewerage,,36,
Textiles,textiles,,37,
Tobacco products,tobacco-products,,38,
Waste,waste,,39,
Wearing apparel,wearing-apparel,,40,
Wood and products of wood cork,wood-and-products-of-wood-cork,,41,
