Label,Notation,Parent Notation,Sort Priority,Description
"AGRICULTURE, FORESTRY AND FISHING",A,total,1,
"Crop and animal production, hunting and related service activities",1,A,2,
Growing of non-perennial crops,1.1,1,3,
"Growing of cereals (except rice), leguminous crops and oil seeds",1.11,1.1,4,
Growing of rice,1.12,1.1,5,
"Growing of vegetables and melons, roots and tubers",1.13,1.1,6,
Growing of sugar cane,1.14,1.1,7,
Growing of tobacco,1.15,1.1,8,
Growing of fibre crops,1.16,1.1,9,
Growing of other non-perennial crops,1.19,1.1,10,
Growing of perennial crops,1.2,1,11,
Growing of grapes,1.21,1.2,12,
Growing of tropical and subtropical fruits,1.22,1.2,13,
Growing of citrus fruits,1.23,1.2,14,
Growing of pome fruits and stone fruits,1.24,1.2,15,
Growing of other tree and bush fruits and nuts,1.25,1.2,16,
Growing of oleaginous fruits,1.26,1.2,17,
Growing of beverage crops,1.27,1.2,18,
"Growing of spices, aromatic, drug and pharmaceutical crops",1.28,1.2,19,
Growing of other perennial crops,1.29,1.2,20,
Plant propagation,1.3,1,21,
Plant propagation,1.30,1.3,22,
Animal production,1.4,1,23,
Raising of dairy cattle,1.41,1.4,24,
Raising of other cattle and buffaloes,1.42,1.4,25,
Raising of horses and other equines,1.43,1.4,26,
Raising of camels and camelids,1.44,1.4,27,
Raising of sheep and goats,1.45,1.4,28,
Raising of swine/pigs,1.46,1.4,29,
Raising of poultry,1.47,1.4,30,
Raising of other animals,1.49,1.4,31,
Mixed farming,1.5,1,32,
Mixed farming,1.50,1.5,33,
Support activities to agriculture and post-harvest crop activities,1.6,1,34,
Support activities for crop production,1.61,1.6,35,
Support activities for animal production,1.62,1.6,36,
Farm animal boarding and care,01.62/1,1.62,37,
Support activities for animal production (other than farm animal boarding and care) n.e.c.,01.62/9,1.62,38,
Post-harvest crop activities,1.63,1.6,39,
Seed processing for propagation,1.64,1.6,40,
"Hunting, trapping and related service activities",1.7,1,41,
"Hunting, trapping and related service activities",1.70,1.7,42,
Forestry and logging,2,A,43,
Silviculture and other forestry activities,2.1,2,44,
Silviculture and other forestry activities,2.10,2.1,45,
Logging,2.2,2,46,
Logging,2.20,2.2,47,
Gathering of wild growing non-wood products,2.3,2,48,
Gathering of wild growing non-wood products,2.30,2.3,49,
Support services to forestry,2.4,2,50,
Support services to forestry,2.40,2.4,51,
Fishing and aquaculture,3,A,52,
Fishing,3.1,3,53,
Marine fishing,3.11,3.1,54,
Freshwater fishing,3.12,3.1,55,
Aquaculture,3.2,3,56,
Marine aquaculture,3.21,3.2,57,
Freshwater aquaculture,3.22,3.2,58,
MINING AND QUARRYING,B,total,59,
Mining of coal and lignite,5,B,60,
Mining of hard coal,5.1,5,61,
Mining of hard coal,5.1,5.1,62,
Mining of hard coal from deep coal mines (underground mining),05.10/1,5.1,63,
Mining of hard coal from open cast coal working (surface mining),05.10/2,5.1,64,
Mining of lignite,5.2,5,65,
Mining of lignite,5.2,B,66,
Extraction of crude petroleum and natural gas,6,5.2,67,
Extraction of crude petroleum,6.1,6,68,
Extraction of crude petroleum,6.1,6.1,69,
Extraction of natural gas,6.2,6,70,
Extraction of natural gas,6.2,6.2,71,
Mining of metal ores,7,B,72,
Mining of iron ores,7.1,7,73,
Mining of iron ores,7.1,7.1,74,
Mining of non-ferrous metal ores,7.2,7,75,
Mining of uranium and thorium ores,7.21,7.2,76,
Mining of other non-ferrous metal ores,7.29,7.2,77,
Other mining and quarrying,8,B,78,
"Quarrying of stone, sand and clay",8.1,8,79,
"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",8.11,8.1,80,
Operation of gravel and sand pits; mining of clays and kaolin,8.12,8.1,81,
Mining and quarrying n.e.c.,8.9,8,82,
Mining of chemical and fertiliser minerals,8.91,8.9,83,
Extraction of peat,8.92,8.9,84,
Extraction of salt,8.93,8.9,85,
Other mining and quarrying n.e.c.,8.99,8.9,86,
Mining support service activities,9,B,87,
Support activities for petroleum and natural gas extraction,9.1,9,88,
Support activities for petroleum and natural gas extraction,9.1,9.1,89,
Support activities for other mining and quarrying,9.9,9,90,
Support activities for other mining and quarrying,9.9,9.9,91,
MANUFACTURING,C,total,92,
Manufacture of food products,10,C,93,
Processing and preserving of meat and production of meat products,10.1,10,94,
Processing and preserving of meat,10.11,10.1,95,
Processing and preserving of poultry meat,10.12,10.1,96,
Production of meat and poultry meat products,10.13,10.1,97,
"Processing and preserving of fish, crustaceans and molluscs",10.2,10,98,
"Processing and preserving of fish, crustaceans and molluscs",10.2,10.2,99,
Processing and preserving of fruit and vegetables,10.3,10,100,
Processing and preserving of potatoes,10.31,10.3,101,
Manufacture of fruit and vegetable juice,10.32,10.3,102,
Other processing and preserving of fruit and vegetables,10.39,10.3,103,
Manufacture of vegetable and animal oils and fats,10.4,10,104,
Manufacture of oils and fats,10.41,10.4,105,
Manufacture of margarine and similar edible fats,10.42,10.4,106,
Manufacture of dairy products,10.5,10,107,
Operation of dairies and cheese making,10.51,10.5,108,
Liquid milk and cream production,10.51/1,10.51,109,
Butter and cheese production,10.51/2,10.51,110,
"Manufacture of milk products (other than liquid milk and cream, butter, cheese) n.e.c.",10.51/9,10.51,111,
Manufacture of ice cream,10.52,10.5,112,
"Manufacture of grain mill products, starches and starch products",10.6,10,113,
Manufacture of grain mill products,10.61,10.6,114,
Grain milling,10.61/1,10.61,115,
Manufacture of breakfast cereals and cereals-based foods,10.61/2,10.61,116,
Manufacture of starches and starch products,10.62,10.6,117,
Manufacture of bakery and farinaceous products,10.7,10,118,
Manufacture of bread; manufacture of fresh pastry goods and cakes,10.71,10.7,119,
Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,10.72,10.7,120,
