Namespace,Label,Path,Qb Property Type,Parent Property,Source,Range,Codelist,Comment
trade,BOP Services,dimension/bop-services,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/bop-services,
trade,SITC Section,dimension/sitc-section,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/sitc-sections,Standard International Trade Classification
trade,Seasonal Adjustment,dimension/seasonal-adjustment,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/seasonal-adjustments,Whether the time-series has been adjusted to remove cyclical components
trade,Turnover,dimension/turnover,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/turnover-size-bands,Turnover generated by the business
trade,Age of Business,dimension/age-of-business,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/age-of-business,How long the business has been trading
trade,Country of Ownership,dimension/country-of-ownership,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/country-of-ownership,Country of Ownership
trade,Product,dimension/product,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/product,Good or service being traded
trade,Price Classification,dimension/price-classification,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/price-classifications,Methodology for handling prices
trade,Trade Partner Geography,dimension/trade-partner-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/ons-trade-areas-cord,Location of the trade partner. Typically a foreign geography. The destination of exports or origin of imports.
trade,Trade Reporter Geography,dimension/trade-reporter-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/nuts-geography,Location of the trade reporter. Typically a domestic geography. The destination of imports or origin of exports.
trade,International Trade Basis,dimension/international-trade-basis,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/international-trade-basis,The methodological basis on which the trade statistics have been calculated
trade,Investment Direction,dimension/investment-direction,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/investment-direction,Direction of foreign direct investment into the UK (inward) or abroad (outward)
trade,Export and Import Activity,dimension/export-and-import-activity,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/export-and-import-activity,Whether and how the business is trading internationally
trade,SITC 4,dimension/sitc-4,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/sitc4,Standard International Trade Classification Revision 4
trade,ONS FDI Area,dimension/ons-fdi-area,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/ons-fdi-area,Area from which foreign direct investment (FDI) flows into/out of the UK
trade,FDI Component,dimension/fdi-component,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/fdi-component,Foreign direct investment (FDI) component being measured
trade,FDI Industry,dimension/fdi-industry,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/fdi-industry,High level industry groupings based on SIC 2007
trade,HMRC Industry,dimension/hmrc-industry,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/hmrc-industry-groups,HMRC Industry
trade,NUTS Geography,dimension/nuts-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/nuts-geography,The Nomenclature of Territorial Units for Statistics (NUTS) is a geocode standard by Eurostat for referencing the subdivisions of the United Kingdom of Great Britain and Northern Ireland for statistical purposes.
trade,ONS Functional Category,dimension/ons-functional-category,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/ons-functional-category,ONS high level industry groupings based on SIC 2007
trade,ONS Trade Areas ITIS,dimension/ons-trade-areas-itis,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/ons-trade-areas-itis,ONS Trade Areas ITIS
trade,ITIS Service,dimension/itis-service,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/itis-services,ITIS Service
trade,ITIS Industry,dimension/itis-industry,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/itis-industry,ITIS Industry
trade,Standard Industrial Classification,dimension/sic-2007,qb:DimensionProperty,,,skos:Concept,http://business.data.gov.uk/companies/def/sic-2007/scheme,The current Standard Industrial Classification (SIC) used in classifying business establishments and other statistical units by the type of economic activity in which they are engaged.
trade,Marker,attribute/marker,qb:AttributeProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/marker,Marker for special values
trade,ONS Partner Geography,dimension/ons-partner-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/concept-scheme/cl-area,ONS Partner Geography
trade,Product Department,dimension/product-department,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/product-department,Product Department
trade,Product Category,dimension/product-category,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/product-category,Product Category
trade,Trades,dimension/trades,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/trades,Trades
trade,Account Type,dimension/account-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/account-type,Account Type
trade,Income,dimension/income,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/income,Income
trade,Income Description,dimension/income-description,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/income-description,Income Description
trade,Earnings,dimension/earnings,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/earnings,Earnings
trade,Sector,dimension/sector,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/sector,Sector
trade,Transaction Type,dimension/transaction-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/transaction-type,Transaction Type
trade,Inventory,dimension/inventory,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/inventory,
trade,Expenditure Category,dimension/expenditure-category,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/expenditure-category,
trade,Analysis,dimension/analysis,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/analysis,
trade,Income Category,dimension/income-category,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/income-category,
trade,Industrial Sector,dimension/industrial-sector,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/industrial-sector,
trade,Estimate Type,dimension/estimate-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/estimate-type,
trade,Expenditure,dimension/expenditure,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/expenditure,
trade,Trade Type,dimension/trade-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/national-accounts-trade-type,
trade,Income Indicator,dimension/income-indicator,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/income-indicator,
trade,Expenditure Type,dimension/expenditure-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/expenditure-type,
trade,Industry,dimension/industry,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/industry,
trade,Aggregate,dimension/aggregate,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/aggregate,
trade,Household Expenditure,dimension/household-expenditure,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/household-expenditure,
trade,Capital Formation,dimension/capital-formation,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/capital-formation,
trade,Services,dimension/services,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/services,Services
trade,Country Transaction,dimension/country-transaction,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/country-transaction,Country Transaction
trade,Members,dimension/members,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/members,Members
trade,Service Origin Geography,dimension/service-origin-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/service-origin-geography,
trade,Service Destination Geography,dimension/service-destination-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/service-destination-geography,
trade,Trade Area,dimension/trade-area,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/trade-area,
trade,MRETS Product,dimension/mrets-product,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/mrets-product,
trade,Size of Business by Number of Employees,dimension/employment-size-band,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/employment-size-bands,Size of a business based on the number of employees
trade,HMRC Trade Statistic Type,dimension/hmrc-trade-statistic-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/hmrc-trade-statistic-type,
trade,HMRC Reporter Region,dimension/hmrc-reporter-region,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/hmrc-regions,Location of the trade reporter Typically a domestic geography The destination of imports or origin of exports
trade,HMRC Partner Geography,dimension/hmrc-partner-geography,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/hmrc-geographies,
